stratum_id,label,outcome,metric,employment_rate,zero_interpretation,mean,zero_share,p0,p10,p25,p50,p75,p90,p99,n
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,government_mbbs,annual,0.553675,family_support_or_delayed_independence_not_street_poverty,372358.80858290894,0.446325,0.0,0.0,0.0,147303.6882807727,548985.375894946,1041292.7306611346,2586930.1995609063,40000.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,government_mbbs,annual_if_employed,0.553675,wage_among_employed_only,672522.343582262,0.0,21929.562956430636,149871.71285392548,265282.99691202503,492611.27944858035,868149.2608924933,1389459.0489704565,3044675.8626544964,22147.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,private_mbbs,annual,0.5439,family_support_or_delayed_independence_not_street_poverty,361087.785821909,0.4561,0.0,0.0,0.0,128764.15147989106,520381.3195510453,1016307.0797531815,2622193.7537807603,40000.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,private_mbbs,annual_if_employed,0.5439,wage_among_employed_only,663886.3501046313,0.0,15124.720765348226,144122.54761179714,257235.24692118197,476524.43560578476,846779.0856139128,1382323.1095982061,3189597.505341016,21756.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual,0.55345,family_support_or_delayed_independence_not_street_poverty,459144.6372565449,0.44655,0.0,0.0,0.0,158741.16101161903,672825.5106529626,1300074.352623681,3262236.742663375,40000.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual_if_employed,0.55345,wage_among_employed_only,829604.5482998372,0.0,10022.661659665402,162114.07726301815,311280.63679148233,604404.5753131501,1079087.0498066153,1731039.858361027,3907880.729079743,22138.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,0.552,family_support_or_delayed_independence_not_street_poverty,285838.9716470506,0.448,0.0,0.0,0.0,129828.39684462085,421282.87258330226,784617.7080916647,1936396.076052095,40000.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,0.552,wage_among_employed_only,517824.22399828,0.0,14452.374197168921,133111.51826543393,221513.82582362933,384361.7938873514,656116.5299355914,1048163.6487431127,2301492.939665063,22080.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,0.495575,family_support_or_delayed_independence_not_street_poverty,216031.93035763392,0.504425,0.0,0.0,0.0,0.0,336370.0223949175,624679.1683169581,1445381.1582643504,40000.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,0.495575,wage_among_employed_only,435921.76836530084,0.0,21328.88898866038,128269.15201826938,202379.71696878335,338960.0199614718,553100.5515067871,865487.6005923033,1694989.1530355595,19823.0
