profile,quantity,mean,sd,ci_low,ci_high,ess,evidence_class,source,notes
neutral,neet_qualify_rate,0.5639783572865003,0.00032464783876147245,0.5633420073295281,0.5646146033548634,2333164.0,same_population_complete_counts,NTA re-revised result press release 2024-07-26; denominator=NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,
neutral,nmc_mbbs_seats_per_appeared,0.05554779308080622,0.03987185373344405,0.0057638035834242105,0.15572340117701852,32.0,capacity_accounting,NMC MBBS college list; NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,"capacity accounting, not P(offer|applicant)"
neutral,tn_govt_allotment_english_post_neet,0.08770452771484256,0.0009439685517058475,0.08586310102684595,0.08956335036090682,89792.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
neutral,tn_govt_allotment_tamil_post_neet,0.03725621309285026,0.0026719596865683016,0.032196124368096754,0.04266521209026749,5023.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
neutral,coaching_score_shift_sd,0.0,0.2,-0.3,0.6,,prior,config/bayesian_priors.yaml,prior only; selected cohorts are PPC targets
neutral,aiq_course_share_mbbs,0.8480259179265659,,,,57875.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
neutral,aiq_course_share_bds,0.13018574514038878,,,,57875.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
neutral,aiq_course_share_nursing,0.021779697624190065,,,,57875.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
neutral,aiq_course_share_other,8.639308855291577e-06,,,,57875.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
neutral,medicine_employment_given_lfp,0.7082727272727273,0.09478177936125748,0.50712042063307,0.8736436875355051,22.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
neutral,medicine_plug_in_expected_annual_earnings_inr,312559.8071254869,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
neutral,engineering_employment_given_lfp,0.7082727272727273,0.09478177936125748,0.50712042063307,0.8736436875355051,22.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
neutral,engineering_plug_in_expected_annual_earnings_inr,211474.84511818894,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
neutral,other_graduate_employment_given_lfp,0.7082727272727273,0.09478177936125748,0.50712042063307,0.8736436875355051,22.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
neutral,other_graduate_plug_in_expected_annual_earnings_inr,107593.03028513424,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
conservative,neet_qualify_rate,0.5639783024439753,0.00032464770424898764,0.5633419527507317,0.5646145482487879,2333166.0,same_population_complete_counts,NTA re-revised result press release 2024-07-26; denominator=NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,
conservative,nmc_mbbs_seats_per_appeared,0.05554779308080622,0.03871590140817305,0.006384778168754382,0.15228842495257078,34.0,capacity_accounting,NMC MBBS college list; NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,"capacity accounting, not P(offer|applicant)"
conservative,tn_govt_allotment_english_post_neet,0.0877044112651434,0.0009439574727379126,0.085863006099608,0.08956321200619814,89794.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
conservative,tn_govt_allotment_tamil_post_neet,0.03726883915040273,0.002671863118245226,0.03220886367936414,0.04267757659963331,5025.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
conservative,coaching_score_shift_sd,0.08,0.08,-0.05,0.3,,prior,config/bayesian_priors.yaml,prior only; selected cohorts are PPC targets
conservative,aiq_course_share_mbbs,0.8480052525182715,,,,57877.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
conservative,aiq_course_share_bds,0.13018988544672322,,,,57877.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
conservative,aiq_course_share_nursing,0.021787584014375312,,,,57877.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
conservative,aiq_course_share_other,1.7278020629956632e-05,,,,57877.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
conservative,medicine_employment_given_lfp,0.7086666666666668,0.09087534808125296,0.5163163992392101,0.868143280887578,24.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
conservative,medicine_plug_in_expected_annual_earnings_inr,312733.65205308,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
conservative,engineering_employment_given_lfp,0.7086666666666668,0.09087534808125296,0.5163163992392101,0.868143280887578,24.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
conservative,engineering_plug_in_expected_annual_earnings_inr,211592.46686064976,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
conservative,other_graduate_employment_given_lfp,0.7086666666666668,0.09087534808125296,0.5163163992392101,0.868143280887578,24.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
conservative,other_graduate_plug_in_expected_annual_earnings_inr,107652.87324041201,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
reasonable,neet_qualify_rate,0.5639781379169645,0.0003246473007125109,0.563341789014905,0.5646143829311276,2333172.0,same_population_complete_counts,NTA re-revised result press release 2024-07-26; denominator=NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,
reasonable,nmc_mbbs_seats_per_appeared,0.05554779308080623,0.035771031938808706,0.00817245065471973,0.14366015390379108,39.99999999999999,capacity_accounting,NMC MBBS college list; NTA centre-wise reconstruction (hq969) reconciled to NTA re-revised press 2024-07-26,"capacity accounting, not P(offer|applicant)"
reasonable,tn_govt_allotment_english_post_neet,0.08770406194716833,0.0009439242381653743,0.08586272134449816,0.08956279697781395,89800.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
reasonable,tn_govt_allotment_tamil_post_neet,0.03730665709142005,0.0026715717087677222,0.03224702511328468,0.04271460691623347,5031.0,same_exam_state_complete_counts,Justice A.K. Rajan Committee Table 7.18,Tamil Nadu ordinary quota; not national
reasonable,coaching_score_shift_sd,0.14,0.1,-0.05,0.45,,prior,config/bayesian_priors.yaml,prior only; selected cohorts are PPC targets
reasonable,aiq_course_share_mbbs,0.8479432648618765,,,,57883.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
reasonable,aiq_course_share_bds,0.1302023046490334,,,,57883.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
reasonable,aiq_course_share_nursing,0.02181123991500095,,,,57883.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
reasonable,aiq_course_share_other,4.3190574089110795e-05,,,,57883.0,same_population_complete_counts,MCC UG 2024 tidy allotments,MCC AIQ/deemed/central allotment mix
reasonable,medicine_employment_given_lfp,0.7095333333333333,0.08153680788102097,0.5380816040343932,0.8545585044867062,30.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
reasonable,medicine_plug_in_expected_annual_earnings_inr,313116.11089378456,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
reasonable,engineering_employment_given_lfp,0.7095333333333333,0.08153680788102097,0.5380816040343932,0.8545585044867062,30.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
reasonable,engineering_plug_in_expected_annual_earnings_inr,211851.23469406352,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
reasonable,other_graduate_employment_given_lfp,0.7095333333333333,0.08153680788102097,0.5380816040343932,0.8545585044867062,30.0,hierarchical_no_field_counts,ILO/IHD 2024 + APU SOWI 2026 age bands,broad graduate proxy; not field-identified
reasonable,other_graduate_plug_in_expected_annual_earnings_inr,107784.52774202303,,,,,derived,career gates × World Bank wage anchors,includes zeros for non-completion / non-employment via gate product
