profile,evidence_id,program,cohort_year,outcome,observed_rate,trials,selection_into_program,reference,predicted_mean_under_national_rate,observed_minus_predicted,coaching_prior_shift_mean_sd,evidence_role,used_to_update_coaching_effect
neutral,secl_sushrut_2023_24,SECL Ke Sushrut,2023-24,neet_qualified,0.975,40,very strong,posterior_national_qualify_rate,0.5639778751378237,0.41102212486217626,0.025036098422935284,upper-bound calibration for selected intensive programs,False
neutral,secl_sushrut_2023_24,SECL Ke Sushrut,2023-24,mbbs_admission,0.275,40,very strong,posterior_national_mbbs_capacity_rate,0.05548622679403911,0.2195137732059609,0.025036098422935284,upper-bound calibration for selected intensive programs,False
neutral,secl_sushrut_2024_25,SECL Ke Sushrut,2024-25,neet_qualified,0.775,40,very strong,posterior_national_qualify_rate,0.5639778751378237,0.2110221248621763,0.025036098422935284,temporal validation of qualification-rate variability,False
neutral,apswreis_2024_25,Dr. B.R. Ambedkar IIT-NEET specialised centres,2024-25,neet_qualified,0.7944444444444444,180,very strong,posterior_national_qualify_rate,0.5639778751378237,0.23046656930662068,0.025036098422935284,calibration for selected welfare-school intensive coaching,False
neutral,apswreis_2024_25,Dr. B.R. Ambedkar IIT-NEET specialised centres,2024-25,mbbs_admission,0.0722222222222222,180,very strong,posterior_national_mbbs_capacity_rate,0.05548622679403911,0.01673599542818309,0.025036098422935284,calibration for selected welfare-school intensive coaching,False
neutral,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,neet_qualified,0.1666666666666666,54,low,posterior_national_qualify_rate,0.5639778751378237,-0.3973112084711571,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,mbbs_admission,0.0,54,low,posterior_national_mbbs_capacity_rate,0.05548622679403911,-0.05548622679403911,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,government_mbbs_admission,0.0,54,low,posterior_national_mbbs_capacity_rate,0.05548622679403911,-0.05548622679403911,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,neet_qualified,0.1634615384615384,104,low,posterior_national_qualify_rate,0.5639778751378237,-0.4005163366762853,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,mbbs_admission,0.0,104,low,posterior_national_mbbs_capacity_rate,0.05548622679403911,-0.05548622679403911,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,government_mbbs_admission,0.0,104,low,posterior_national_mbbs_capacity_rate,0.05548622679403911,-0.05548622679403911,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2020,Sigaram Free NEET Coaching Centre,2020,neet_qualified,0.4736842105263157,19,low,posterior_national_qualify_rate,0.5639778751378237,-0.090293664611508,0.025036098422935284,lower-resource open-access cohort calibration,False
neutral,sigaram_2020,Sigaram Free NEET Coaching Centre,2020,mbbs_admission,0.1052631578947368,19,low,posterior_national_mbbs_capacity_rate,0.05548622679403911,0.04977693110069768,0.025036098422935284,lower-resource open-access cohort calibration,False
