session,current_students_share,repeater_share,neet_era,source,notes
2010-2011,0.9285,0.0715,pre_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2011-2012,0.9929,0.0071,pre_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2012-2013,0.9712,0.0288,pre_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2013-2014,0.9743,0.0257,pre_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2014-2015,0.9959,0.0041,pre_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2015-2016,0.6929,0.3071,transition,Justice A.K. Rajan Committee Table 7.38,Transition year; NEET phasing
2016-2017,0.8753,0.1247,post_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2017-2018,0.6164,0.3836,post_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2018-2019,0.4959,0.5041,post_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2019-2020,0.3060,0.6940,post_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
2020-2021,0.2858,0.7142,post_neet,Justice A.K. Rajan Committee Table 7.38,Share among TN MBBS admits; other-than-current-year = repeater proxy
