stratum_id,label,arms_race_scenario,coaching_profile,labeled_prep_intensity,effective_prep_intensity,mean_marks,median_marks,p90_marks,mean_rank_percentile,p_government_offer,p_private_offer,p_any_mbbs_offer,p_accessible_seat,medium_shift_sd,coaching_shift_sd,relative_coaching_shift_sd,total_location_shift_sd
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,conservative,none,none,192.33521780156892,135.4479581624349,454.0042327841786,0.5632090377846375,0.01435,0.026875,0.041225,0.01435,-0.12,0.0,-0.057499999999999996,-0.1775
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,conservative,modest,modest,205.6316310109136,148.74715851504067,467.30343313678435,0.5348062238359109,0.02,0.026925,0.046925,0.02,-0.12,0.08,0.022500000000000006,-0.09749999999999999
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,unilateral,conservative,modest,modest,242.19356395940184,185.3199594847065,503.87623410645017,0.4541630655646646,0.03665,0.03075,0.0674,0.03665,0.1,0.08,0.022500000000000006,0.12250000000000001
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,unilateral,conservative,modest,modest,242.19356395940184,185.3199594847065,503.87623410645017,0.4541630655646646,0.03665,0.03075,0.0674,0.0674,0.1,0.08,0.022500000000000006,0.12250000000000001
english_can_afford_metro_modest,English · can afford private · metro · modest prep,unilateral,conservative,modest,modest,250.49211266644178,193.63195970508508,512.1882343268288,0.43652548079928766,0.040825,0.0317,0.072525,0.072525,0.1,0.08,0.022500000000000006,0.17250000000000004
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,unilateral,conservative,intensive,intensive,265.3878524695264,208.59356010176654,527.1498347235104,0.40615301239192797,0.047575,0.033425,0.081,0.081,0.1,0.16999999999999998,0.11249999999999999,0.2625
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,conservative,none,modest,201.8917456771926,145.00675841587028,463.563033037614,0.5429059438986975,0.018375,0.026925,0.0453,0.018375,-0.12,0.08,0.0,-0.12
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,conservative,modest,modest,201.8917456771926,145.00675841587028,463.563033037614,0.5429059438986975,0.018375,0.026925,0.0453,0.018375,-0.12,0.08,0.0,-0.12
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,conservative,modest,modest,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.034775,0.1,0.08,0.0,0.1
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,conservative,modest,modest,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.065425,0.1,0.08,0.0,0.1
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,conservative,modest,modest,246.7592977348412,189.89155960591472,508.4478342276584,0.44439921084332584,0.03905,0.0308,0.06985,0.06985,0.1,0.08,0.0,0.15000000000000002
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,conservative,intensive,modest,246.7592977348412,189.89155960591472,508.4478342276584,0.44439921084332584,0.03905,0.0308,0.06985,0.06985,0.1,0.08,0.0,0.15000000000000002
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,conservative,none,intensive,201.8917456771926,145.00675841587028,463.563033037614,0.5429059438986975,0.018375,0.026925,0.0453,0.018375,-0.12,0.16999999999999998,0.0,-0.12
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,conservative,modest,intensive,201.8917456771926,145.00675841587028,463.563033037614,0.5429059438986975,0.018375,0.026925,0.0453,0.018375,-0.12,0.16999999999999998,0.0,-0.12
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,conservative,modest,intensive,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.034775,0.1,0.16999999999999998,0.0,0.1
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,conservative,modest,intensive,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.065425,0.1,0.16999999999999998,0.0,0.1
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,conservative,modest,intensive,246.7592977348412,189.89155960591472,508.4478342276584,0.44439921084332584,0.03905,0.0308,0.06985,0.06985,0.1,0.16999999999999998,0.0,0.15000000000000002
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,conservative,intensive,intensive,246.7592977348412,189.89155960591472,508.4478342276584,0.44439921084332584,0.03905,0.0308,0.06985,0.06985,0.1,0.16999999999999998,0.0,0.15000000000000002
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_modest,conservative,none,none,188.5959942578908,131.7075580632645,450.26383268500825,0.5709546071566561,0.01265,0.0266,0.03925,0.01265,-0.12,0.0,-0.08,-0.2
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_modest,conservative,modest,modest,201.8917456771926,145.00675841587028,463.563033037614,0.5429059438986975,0.018375,0.026925,0.0453,0.018375,-0.12,0.08,0.0,-0.12
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_modest,conservative,modest,modest,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.034775,0.1,0.08,0.0,0.1
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_modest,conservative,modest,modest,238.45620231234292,181.5795593855361,500.1358340072798,0.46224719985139817,0.034775,0.03065,0.065425,0.065425,0.1,0.08,0.0,0.1
english_can_afford_metro_modest,English · can afford private · metro · modest prep,rivals_escalate_modest,conservative,modest,modest,246.7592977348412,189.89155960591472,508.4478342276584,0.44439921084332584,0.03905,0.0308,0.06985,0.06985,0.1,0.08,0.0,0.15000000000000002
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,conservative,intensive,intensive,261.66895881349495,204.85316000259618,523.40943462434,0.41358909443884967,0.045925,0.03275,0.078675,0.078675,0.1,0.16999999999999998,0.08999999999999998,0.24
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,conservative,none,none,173.63976035246168,116.74595766658305,435.30223228832676,0.6008069192592237,0.00835,0.023525,0.031875,0.00835,-0.12,0.0,-0.16999999999999998,-0.29
