school_name,location_raw,enforcement_outcome,allegation_type,source_wave,source_file
"KHEMO DEVI PUBLIC SCHOOL NARELA, DELHI-110040",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"THE VIVEKANAND SCHOOL, NARELA DELHI-110040",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"SANT GYANESHWAR MODEL SCHOOL, ALIPUR, DELHI - 110036",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"P D MODEL SECONDARY SCHOOL, SULTANPURI ROAD, 110041",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"SIDHHARTHA PUBLIC SCHOOL, KANJHAWAL, NORTH WEST DELHI - 110081",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"RAHUL PUBLIC SCHOOL, RAJIV NAGAR EXTN.,DELHI - 110086",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"PRINCE UCH MADHYAMIK VIDYALAYA, SIKAR, RAJASTHAN 332001",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"BHARTI VIDYA NIKETAN PUBLIC SCHOOL, CHANDER VIHAR, WEST DELHI, DELHI-110041",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"U.S.M.PUBLIC SEC.SCHOOL, NANGLOI DELHI - 110041",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"R.D. INTERNATIONAL SCHOOL, BAPROLA, NEW DELHI - 110043",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
"HEERA LAL PUBLIC SCHOOL, MADANPUR DABAS, NORTH WEST DELHI, 110081",,disaffiliated,dummy_students_ineligible_or_records,cbse_press_html_textline,C:/Users/raino/GitHub/neet-comparison/data/external/cbse/raw/disaffiliated.html
