metric,value
delhi_exam_centre_n_candidates_2024,66090.0
delhi_exam_centre_marks_median_2024,213.0
delhi_exam_centre_share_ge_600_2024,0.05006808896958693
national_marks_median_2024,163.0
national_share_ge_600_2024,0.034952566517027106
delhi_cmse_all_enrolled_coaching_rate,0.3912214569990991
delhi_cmse_class_x_xii_coaching_rate,0.5805865822485818
delhi_q5_vs_q1_coaching_rate_ratio,1.7534672146655021
delhi_q5_vs_q1_median_exp_ratio,4.133333333333334
delhi_nss75_english_to_hindi_coaching_rate_ratio,1.5422110496850467
delhi_registered_growth_2021_to_2024,1.973899188876014
