centre_id,count,mean,median,std,min,max,city,center_name
200214,315,302.984126984127,277.0,200.1660212248259,-14,697,DELHI/NEW DELHI,NAVYUG SCHOOL
200223,263,297.99239543726236,263.0,197.1411512843937,1,705,DELHI/NEW DELHI,SADHU VASWANI INTERNATIONAL SCHOOL FOR GIRLS
200216,291,295.5704467353952,270.0,198.1445597836809,9,710,DELHI/NEW DELHI,ST PAUL`S SCH SAFDARJUNG DEV AREA HAUZKHAS ND
200221,268,285.81716417910445,253.0,194.63862646011466,11,700,DELHI/NEW DELHI,MT COLUMBUS SCHOOL
200219,255,283.5098039215686,256.0,199.8693640825934,-3,695,DELHI/NEW DELHI,DELHI PUBLIC SCHOOL VASANT KUNJ
200222,257,281.7509727626459,232.0,197.69124504689285,-20,715,DELHI/NEW DELHI,NJ SARVODAYA (S.CO.ED.V)
200217,266,280.92857142857144,229.0,206.02542106252133,-1,701,DELHI/NEW DELHI,BHARATIYA VIDYA BHAVAN''S MEHTA VIDYALAYA
200218,268,278.68283582089555,224.5,193.41877913936702,-15,700,DELHI/NEW DELHI,DAV PUBLIC SCHOOL VASANT KUNJ
200215,283,275.773851590106,230.0,197.627322515426,0,687,DELHI/NEW DELHI,THE INDIAN SCHOOL
200155,467,273.04282655246254,236.0,170.36243329141556,-35,715,DELHI/NEW DELHI,SARVODAYA VIDYALAYA
200180,352,271.84375,230.0,167.57564440873512,-36,710,DELHI/NEW DELHI,VIVEKANAND PUBLIC SCHOOL
200134,347,271.72334293948126,249.0,167.25401609115124,11,677,DELHI/NEW DELHI,ARVIND GUPTA DAV CENTENARY PUBLIC SCHOOL
200224,102,266.3137254901961,234.0,187.4821169236717,9,705,DELHI/NEW DELHI,AMITY INTL. SCHOOL M-BLOCK SAKET NEW DELHI
200184,693,266.13419913419915,221.0,174.37601604104734,-24,715,DELHI/NEW DELHI,M L KHANNA DAV PUBLIC SCHOOL
200135,282,266.09574468085106,214.5,172.6073693895858,-20,677,DELHI/NEW DELHI,GYAN MANDIR PUBLIC SCHOOL
200152,467,265.7237687366167,211.0,179.26650363784833,-5,685,DELHI/NEW DELHI,RAJKIYA PRATIBHA VIKAS VIDYALAYA
200121,698,265.24785100286533,218.0,174.54569076922783,-22,712,DELHI/NEW DELHI,BRILLIANTS CONVENT PUBLIC SCHOOL
200202,690,263.77101449275364,217.5,174.82480477943662,-4,695,DELHI/NEW DELHI,G D GOENKA PUBLIC SCHOOL
200213,351,263.7150997150997,220.0,173.46304266715478,-8,701,DELHI/NEW DELHI,SPRINGDALES SCHOOL DHAULA KUAN NEW DELHI
200203,705,263.69929078014184,225.0,171.59394892931218,-1,690,DELHI/NEW DELHI,KALKA PUBLIC SCHOOL
200171,462,263.6212121212121,219.5,168.88040610569197,7,685,DELHI/NEW DELHI,DAV PUBLIC SCHOOL
200157,371,263.54986522911054,223.0,169.2331498058966,0,710,DELHI/NEW DELHI,MAHAVIR SENIOR MODEL SCHOOL
200104,698,263.2507163323782,221.0,169.3738960941408,-22,686,DELHI/NEW DELHI,DE INDIAN PUBLIC SCHOOL
200186,605,262.93388429752065,222.0,168.42637157329077,-7,690,DELHI/NEW DELHI,KENDRIYA VIDYALAYA SECTOR-5 DWARKA
200145,768,262.80078125,216.0,168.90677137966543,5,715,DELHI/NEW DELHI,GOVT CO-ED SARVODAYA VIDYALAYA
200139,947,262.4213305174234,218.0,168.03798425774917,-14,701,DELHI/NEW DELHI,GOVT BOYS SR.SEC.SCHOOL
200178,468,262.3568376068376,224.5,168.5989718047478,10,695,DELHI/NEW DELHI,DAV PUBLIC SCHOOL
200101,1337,262.1787584143605,222.0,166.1508276010959,1,710,DELHI/NEW DELHI,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY
200201,913,262.14348302300107,213.0,175.20056240060086,-5,710,DELHI/NEW DELHI,MOUNT CARMEL SCHOOL
200207,490,262.0265306122449,221.0,169.08559959376706,-14,691,DELHI/NEW DELHI,"AMITY INTERNATIONAL SCHOOL, PUSHP VIHAR"
200108,677,261.3677991137371,211.0,170.31933728698203,-10,685,DELHI/NEW DELHI,S D SARASWATI BAL MANDIR
200177,460,261.36739130434785,214.5,173.95944554609542,6,715,DELHI/NEW DELHI,SARVODAYA CO-ED SENIOR SECONDARY SCHOOL
200189,556,261.06654676258995,213.0,171.13638488122803,-28,710,DELHI/NEW DELHI,GOVT. CO.ED SS SCHOOL SECTOR 2 DWARKA
200143,947,260.9831045406547,215.0,171.39565064158012,-13,695,DELHI/NEW DELHI,MAHARAJA AGRASEN PUBLIC SCHOOL
200183,698,260.8295128939828,220.0,170.03844915871784,2,700,DELHI/NEW DELHI,BAL BHARTI PUBLIC SCHOOL SEC-12 PS-1 DWARKA ND
200220,269,260.69888475836433,207.0,192.4582200218413,-29,705,DELHI/NEW DELHI,CAMBRIDGE SCHOOL
200159,1442,260.35783633841885,217.0,168.6748436620592,-11,710,DELHI/NEW DELHI,GOVT GIRLS SR.SEC.SCHOOL
200187,584,259.6267123287671,220.5,170.2971402928338,1,676,DELHI/NEW DELHI,GOVT. CO ED. SS SCHOOL
200103,747,259.140562248996,219.0,168.90306975245124,-4,712,DELHI/NEW DELHI,MOTHER DIVINE PUBLIC SCHOOL
200138,1176,258.86224489795916,219.0,168.03228079854304,-11,695,DELHI/NEW DELHI,THE VIVEK ANAND SCHOOL
200142,940,258.67765957446807,217.0,167.96445732741785,-8,706,DELHI/NEW DELHI,INDRAPRASTHA CONVENT SCHOOL BEGUMPUR DELHI
200208,484,258.6012396694215,216.5,169.8382133526379,-9,710,DELHI/NEW DELHI,ATAL ADARSH VIDYALAYA
200116,464,258.5323275862069,221.0,166.04944432050794,0,710,DELHI/NEW DELHI,DELHI PUBLIC SCHOOL
200149,551,258.4392014519056,219.0,168.88355166826767,5,690,DELHI/NEW DELHI,GOVT SARVODAYA BAL VIDYALAYA
200110,603,258.23714759535653,214.0,166.48733197293086,-10,705,DELHI/NEW DELHI,REMAL PUBLIC SCHOOL
200160,922,257.82646420824295,209.0,170.7167754195072,0,706,DELHI/NEW DELHI,ST. ANDREWS SCOTS SR. SEC. SCHOOL
200164,769,257.7581274382315,213.0,171.11845240891552,-13,715,DELHI/NEW DELHI,SARDAR PATEL PUBLIC SR. SEC. SCHOOL
200169,560,257.7160714285714,217.0,170.43475847632195,-5,700,DELHI/NEW DELHI,AHLCON INTERNATIONAL SCHOOL
200113,484,257.5971074380165,223.5,173.13929118806752,0,710,DELHI/NEW DELHI,MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL
200174,452,257.5774336283186,209.5,169.28401651645856,5,690,DELHI/NEW DELHI,PMSHRI K V KHICHRIPUR
200148,576,257.2517361111111,222.0,169.28118361889926,-7,705,DELHI/NEW DELHI,SAVODAYA BAL VIDYALAYA
200205,576,257.0173611111111,207.5,170.86298516082311,-3,710,DELHI/NEW DELHI,LAXMAN PUBLIC SCHOOL
200137,281,256.7366548042705,211.0,166.69013717133438,3,690,DELHI/NEW DELHI,KENDRIYA VIDYALAYA PITAMPURA
200182,1300,256.2146153846154,213.0,168.25406281976143,0,710,DELHI/NEW DELHI,ABHINAV GLOBAL SCHOOL SECTOR-13 DWARKA DELHI
200107,695,256.1568345323741,209.0,165.34715860964275,15,706,DELHI/NEW DELHI,LANCERS CONVENT SSS PRASHANT VIHAR ROHINI DLI
200130,488,256.05737704918033,222.5,166.22651224947694,10,705,DELHI/NEW DELHI,DIVINE HAPPY SR SEC SCHOOL
200111,578,256.0501730103806,209.5,168.63690212209107,-10,700,DELHI/NEW DELHI,VIKAS BHARATI PUBLIC SCHOOL
200122,697,255.93543758967002,216.0,164.46616924372694,-11,715,DELHI/NEW DELHI,KENDRIYA VIDYALAYA NO. III DELHI CANTT
200192,386,255.17357512953367,213.5,166.09866705069138,-18,720,DELHI/NEW DELHI,SCHOOL OF SPECIALISED EXCELLENCE (SOSE)
200167,576,254.92013888888889,207.5,171.35698981639825,-16,705,DELHI/NEW DELHI,LOVELY PUBLIC SENIOR SECONDARY SCHOOL
200175,468,254.85470085470087,217.0,164.6829288835035,0,710,DELHI/NEW DELHI,RAJKIYA PRATIBHA VIKAS VIDYALAYA
200179,348,254.79022988505747,217.0,162.5838350517046,-14,686,DELHI/NEW DELHI,MOTHER''S GLOBAL SCHOOL
200125,582,254.6512027491409,208.5,169.00264383025075,-8,710,DELHI/NEW DELHI,ABHINAV PUBLIC SCHOOL
200140,956,254.6286610878661,210.0,167.12091485782818,-13,710,DELHI/NEW DELHI,GOVT CO-ED SARVODAYA VIDYALAYA
200132,391,254.34271099744245,221.0,165.0945345095935,1,712,DELHI/NEW DELHI,D A V PUBLIC SCHOOL
200165,691,254.1244573082489,214.0,162.18912424747097,17,695,DELHI/NEW DELHI,KENDRIYA VIDYALAYA
200190,468,254.0854700854701,214.5,165.86592313228084,19,710,DELHI/NEW DELHI,GOVT. CO-ED SEC SCHOOL RAJAPUR KHURD UTTAM NAGAR
200144,927,253.93419633225457,220.0,165.83043522283432,-24,710,DELHI/NEW DELHI,SARVODAYA BAL VIDYALAYA
200172,463,253.8682505399568,205.0,164.86229964004428,-10,700,DELHI/NEW DELHI,KALA NIKETAN INTERNATIONAL SCHOOL
200131,467,253.84796573875803,208.0,167.53339431102148,11,705,DELHI/NEW DELHI,DARBARI LAL DAV MODEL SCHOOL
200173,469,253.56076759061833,223.0,161.68557593699015,5,688,DELHI/NEW DELHI,LITTLE FLOWERS PUBLIC SR. SEC. SCHOOL
200188,572,253.47027972027973,205.5,168.8055726474672,5,692,DELHI/NEW DELHI,GOVT. CO ED. SS SCHOOL SITE 1(GSSS)
200151,467,253.40471092077087,211.0,170.11491010109552,0,705,DELHI/NEW DELHI,KENDRIYA VIDYALAYA
200185,622,253.0048231511254,215.5,165.2905361155222,3,710,DELHI/NEW DELHI,"G.D GOENKA PUBLIC SCHOOL, DWARKA"
200163,771,252.8715953307393,210.0,164.15449757848194,0,715,DELHI/NEW DELHI,FLORA DALE SR SECONDARY SCHOOL
200102,791,252.77370417193427,209.0,174.53761878444794,-19,706,DELHI/NEW DELHI,MOUNT ABU PUBLIC SCHOOL
200106,702,252.2863247863248,217.5,165.5708641452533,-16,710,DELHI/NEW DELHI,KULACHI HANSRAJ MODEL SCHOOL
200105,695,251.93812949640287,212.0,165.99309184771752,-10,700,DELHI/NEW DELHI,HIMALAYA PUB SR SEC SCH
200156,465,251.93333333333334,205.0,167.82698997246652,-35,706,DELHI/NEW DELHI,SARVODAYA VIDYALAYA
200154,456,251.81578947368422,204.0,165.6042318188108,-10,705,DELHI/NEW DELHI,SARVODAYA CO ED SR.SEC.SCHOOL
200204,681,251.69309838472833,210.0,165.7636200488799,-16,700,DELHI/NEW DELHI,NEW GREEN FIELD SCHOOL SAKET NEW DELHI
200141,943,251.68928950159068,209.0,166.81698517001917,-13,700,DELHI/NEW DELHI,GOVT SARVODAYA BBAL VIDYALAYA
200147,583,251.2229845626072,214.0,163.98755826164557,-14,710,DELHI/NEW DELHI,LAVI PUBLIC SCHOOL
200133,397,251.19143576826195,217.0,168.04684179591064,-21,691,DELHI/NEW DELHI,GURU NANAK PUBLIC SCHOOL
200129,504,250.64880952380952,217.0,159.69210459179777,-15,690,DELHI/NEW DELHI,ST.MARKS SR.SEC.PUBLIC SCHOOL
200120,788,250.60152284263958,217.0,164.64892718321215,-12,706,DELHI/NEW DELHI,DOON PUBLIC SCHOOL
