local_file,source_url,retrieved_date,sha256,bytes,rows,redistribution,limitations
data\external\neet-2024-center-marks.csv,https://github.com/hq969/neet-2024-center-marks/raw/refs/heads/main/csv/neet-2024-center-marks.csv,2026-07-25,35b67efe2fed174b49ff023e807b4f51cdb8f3c3a0396739b01f88cfb6bb114c,33800799,2333162,not committed; third-party reconstruction of official NTA PDFs,"No identity, domicile, category, gender, income, coaching, or admission outcome. Reconcile row count with official candidate totals."
data/external/neet-2024-center-marks.csv,https://github.com/hq969/neet-2024-center-marks/raw/refs/heads/main/csv/neet-2024-center-marks.csv,2026-07-25,35b67efe2fed174b49ff023e807b4f51cdb8f3c3a0396739b01f88cfb6bb114c,33800799,2333162,not committed; third-party reconstruction of official NTA PDFs,"centre marks contain no identity, domicile, category, gender, income, coaching, or admission outcome"
data/raw/nmc_ug_colleges.json,https://www.nmc.org.in/MCIRest/open/getDataFromService?service=getAllUgColleges,2026-07-25,ee921afaa27a0297fd8906801b50cd31f7a818e7384b193bf12b16673aa2fa63,980048,823,not committed; local archive only,Official NMC UG college JSON; local only
data/raw/nmc_colleges.csv,https://www.nmc.org.in/MCIRest/open/getDataFromService?service=getAllUgColleges,2026-07-25,d9010d3e0e9d858b5766918b6d4b3e877ec34f18d0c7ef2cb5f883d347e9ff55,605999,823,not committed; local archive only,Parsed NMC UG college table from JSON API; local only
data/raw/mcc_2024/2024/archive_index.csv,https://mcc.nic.in/archive-ug/,2026-07-25,59d50e718cb2152a26d7ad2aedb0da78d680baf7993432d7a3fa2d2aa984acd5,8662,37,not committed; local archive only,MCC UG 2024 archive index; PDFs stored alongside under data/raw/mcc_2024/2024/
data/external/kerala_cee/raw/discovered_links.csv,https://cee.kerala.gov.in/,2026-07-25,614538edc63f806bd9f778f5a98578bde3063c3e78299bb4d8b57e9fcd550718,1534,,not committed; local archive only,Discovered KEAM medical-related public links from CEE home pages
data/external/kerala_cee/raw/keam2025_ranklist.html,https://cee.kerala.gov.in/keam2025/ranklist,2026-07-25,dad861fa53d19b835c59fb5c9c5f39ea32187f0e644a1be509f0ecb3433d671b,10274,,not committed; local archive only,KEAM 2025 rank list landing page HTML
data/external/kerala_cee/raw/keam2025_allotlist.html,https://cee.kerala.gov.in/keam2025/allotlist,2026-07-25,b3d9241f4c5caec1cf63d9e1f91d930997460520f386056d5f5519983cbf4947,14182,,not committed; local archive only,KEAM 2025 allotment list landing page HTML
data/external/kerala_cee/raw/keam2025_last_rank.html,https://cee.kerala.gov.in/keam2025/last_rank,2026-07-25,0a03bf2de76cad165320305ef9aab9d5221c4fe087f465b2726ad920d2ee319f,10152,,not committed; local archive only,KEAM 2025 last-rank landing page HTML
data/external/osf/tnh4x/raw/Data_for_analysis.csv,https://osf.io/download/nz8fd/?view_only=871cca8775f8420e802e172b5534673e,2026-07-25,0b6c8a06f809ef29fa227ec53a6a3e32a386409c1beea033c3ffd883265706f4,16424,,not committed; local archive only,OSF aspirant microdata; mental-health focus
