year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,SM,638,"DA:13014, PD:39437, PI:2, SD:834, XS:709",mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,EZ,771,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,MU,695,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,LA,1934,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,DV,5062,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,VK,1390,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,BH,1242,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,BX,1495,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,KN,7817,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,KU,8753,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,SC,8942,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,ST,19195,,mbbs_lrank_final.pdf
2025,1,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,EW,1696,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,SM,697,"DA:13937, PD:39643, PI:3",mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,EZ,977,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,MU,872,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,LA,2185,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,DV,4817,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,VK,1439,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,BH,1277,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,BX,1602,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,KN,7990,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,KU,15753,,mbbs_lrank_final.pdf
2025,1,MBBS,CMC,"Govt. Medical College, Ernakulam",G,SC,9794,,mbbs_lrank_final.pdf
