year,list_name,serial_no,neet_score,neet_rank,state_rank,source_file
2025,kerala_state_medical_rank,1,643,109,1,mbbsranklist.pdf
2025,kerala_state_medical_rank,2,633,200,2,mbbsranklist.pdf
2025,kerala_state_medical_rank,3,632,213,3,mbbsranklist.pdf
2025,kerala_state_medical_rank,4,628,274,4,mbbsranklist.pdf
2025,kerala_state_medical_rank,5,627,290,5,mbbsranklist.pdf
2025,kerala_state_medical_rank,6,626,309,6,mbbsranklist.pdf
2025,kerala_state_medical_rank,7,623,384,7,mbbsranklist.pdf
2025,kerala_state_medical_rank,8,621,426,8,mbbsranklist.pdf
2025,kerala_state_medical_rank,9,620,462,9,mbbsranklist.pdf
2025,kerala_state_medical_rank,10,619,480,10,mbbsranklist.pdf
2025,kerala_state_medical_rank,11,619,494,11,mbbsranklist.pdf
2025,kerala_state_medical_rank,12,617,547,12,mbbsranklist.pdf
2025,kerala_state_medical_rank,13,616,566,13,mbbsranklist.pdf
2025,kerala_state_medical_rank,14,615,616,14,mbbsranklist.pdf
2025,kerala_state_medical_rank,15,615,633,15,mbbsranklist.pdf
2025,kerala_state_medical_rank,16,614,638,16,mbbsranklist.pdf
2025,kerala_state_medical_rank,17,612,726,17,mbbsranklist.pdf
2025,kerala_state_medical_rank,18,611,758,18,mbbsranklist.pdf
2025,kerala_state_medical_rank,19,610,776,19,mbbsranklist.pdf
2025,kerala_state_medical_rank,20,610,788,20,mbbsranklist.pdf
2025,kerala_state_medical_rank,21,610,791,21,mbbsranklist.pdf
2025,kerala_state_medical_rank,22,610,821,22,mbbsranklist.pdf
2025,kerala_state_medical_rank,23,609,836,23,mbbsranklist.pdf
2025,kerala_state_medical_rank,24,609,837,24,mbbsranklist.pdf
2025,kerala_state_medical_rank,25,609,843,25,mbbsranklist.pdf
2025,kerala_state_medical_rank,26,609,844,26,mbbsranklist.pdf
2025,kerala_state_medical_rank,27,609,853,27,mbbsranklist.pdf
2025,kerala_state_medical_rank,28,609,856,28,mbbsranklist.pdf
2025,kerala_state_medical_rank,29,608,884,29,mbbsranklist.pdf
2025,kerala_state_medical_rank,30,608,886,30,mbbsranklist.pdf
2025,kerala_state_medical_rank,31,608,887,31,mbbsranklist.pdf
2025,kerala_state_medical_rank,32,608,892,32,mbbsranklist.pdf
2025,kerala_state_medical_rank,33,608,895,33,mbbsranklist.pdf
2025,kerala_state_medical_rank,34,607,944,34,mbbsranklist.pdf
2025,kerala_state_medical_rank,35,607,949,35,mbbsranklist.pdf
2025,kerala_state_medical_rank,36,607,977,36,mbbsranklist.pdf
2025,kerala_state_medical_rank,37,606,1003,37,mbbsranklist.pdf
2025,kerala_state_medical_rank,38,605,1035,38,mbbsranklist.pdf
2025,kerala_state_medical_rank,39,605,1045,39,mbbsranklist.pdf
2025,kerala_state_medical_rank,40,605,1061,40,mbbsranklist.pdf
2025,kerala_state_medical_rank,41,605,1066,41,mbbsranklist.pdf
2025,kerala_state_medical_rank,42,604,1113,42,mbbsranklist.pdf
2025,kerala_state_medical_rank,43,604,1121,43,mbbsranklist.pdf
2025,kerala_state_medical_rank,44,604,1139,44,mbbsranklist.pdf
2025,kerala_state_medical_rank,45,603,1161,45,mbbsranklist.pdf
2025,kerala_state_medical_rank,46,603,1162,46,mbbsranklist.pdf
2025,kerala_state_medical_rank,47,603,1164,47,mbbsranklist.pdf
2025,kerala_state_medical_rank,48,603,1173,48,mbbsranklist.pdf
2025,kerala_state_medical_rank,49,603,1180,49,mbbsranklist.pdf
2025,kerala_state_medical_rank,50,603,1192,50,mbbsranklist.pdf
2025,kerala_state_medical_rank,51,602,1197,51,mbbsranklist.pdf
2025,kerala_state_medical_rank,52,602,1212,52,mbbsranklist.pdf
2025,kerala_state_medical_rank,53,602,1229,53,mbbsranklist.pdf
2025,kerala_state_medical_rank,54,602,1240,54,mbbsranklist.pdf
2025,kerala_state_medical_rank,55,602,1241,55,mbbsranklist.pdf
2025,kerala_state_medical_rank,56,602,1243,56,mbbsranklist.pdf
2025,kerala_state_medical_rank,57,601,1254,57,mbbsranklist.pdf
2025,kerala_state_medical_rank,58,601,1267,58,mbbsranklist.pdf
2025,kerala_state_medical_rank,59,601,1281,59,mbbsranklist.pdf
2025,kerala_state_medical_rank,60,601,1312,60,mbbsranklist.pdf
2025,kerala_state_medical_rank,61,601,1313,61,mbbsranklist.pdf
2025,kerala_state_medical_rank,62,601,1319,62,mbbsranklist.pdf
2025,kerala_state_medical_rank,63,601,1323,63,mbbsranklist.pdf
2025,kerala_state_medical_rank,64,600,1336,64,mbbsranklist.pdf
2025,kerala_state_medical_rank,65,600,1342,65,mbbsranklist.pdf
2025,kerala_state_medical_rank,66,600,1357,66,mbbsranklist.pdf
2025,kerala_state_medical_rank,67,600,1375,67,mbbsranklist.pdf
2025,kerala_state_medical_rank,68,600,1379,68,mbbsranklist.pdf
2025,kerala_state_medical_rank,69,600,1385,69,mbbsranklist.pdf
2025,kerala_state_medical_rank,70,600,1388,70,mbbsranklist.pdf
2025,kerala_state_medical_rank,71,600,1390,71,mbbsranklist.pdf
2025,kerala_state_medical_rank,72,600,1406,72,mbbsranklist.pdf
2025,kerala_state_medical_rank,73,599,1416,73,mbbsranklist.pdf
2025,kerala_state_medical_rank,74,599,1431,74,mbbsranklist.pdf
2025,kerala_state_medical_rank,75,599,1432,75,mbbsranklist.pdf
2025,kerala_state_medical_rank,76,599,1451,76,mbbsranklist.pdf
2025,kerala_state_medical_rank,77,598,1500,77,mbbsranklist.pdf
2025,kerala_state_medical_rank,78,598,1544,78,mbbsranklist.pdf
2025,kerala_state_medical_rank,79,597,1553,79,mbbsranklist.pdf
2025,kerala_state_medical_rank,80,597,1556,80,mbbsranklist.pdf
2025,kerala_state_medical_rank,81,597,1566,81,mbbsranklist.pdf
2025,kerala_state_medical_rank,82,597,1569,82,mbbsranklist.pdf
2025,kerala_state_medical_rank,83,597,1573,83,mbbsranklist.pdf
2025,kerala_state_medical_rank,84,597,1578,84,mbbsranklist.pdf
2025,kerala_state_medical_rank,85,597,1584,85,mbbsranklist.pdf
2025,kerala_state_medical_rank,86,597,1596,86,mbbsranklist.pdf
2025,kerala_state_medical_rank,87,596,1614,87,mbbsranklist.pdf
2025,kerala_state_medical_rank,88,596,1636,88,mbbsranklist.pdf
2025,kerala_state_medical_rank,89,596,1647,89,mbbsranklist.pdf
2025,kerala_state_medical_rank,90,596,1652,90,mbbsranklist.pdf
2025,kerala_state_medical_rank,91,596,1663,91,mbbsranklist.pdf
2025,kerala_state_medical_rank,92,596,1676,92,mbbsranklist.pdf
2025,kerala_state_medical_rank,93,596,1678,93,mbbsranklist.pdf
2025,kerala_state_medical_rank,94,596,1679,94,mbbsranklist.pdf
2025,kerala_state_medical_rank,95,595,1695,95,mbbsranklist.pdf
2025,kerala_state_medical_rank,96,595,1697,96,mbbsranklist.pdf
2025,kerala_state_medical_rank,97,595,1702,97,mbbsranklist.pdf
2025,kerala_state_medical_rank,98,595,1705,98,mbbsranklist.pdf
2025,kerala_state_medical_rank,99,595,1707,99,mbbsranklist.pdf
2025,kerala_state_medical_rank,100,595,1727,100,mbbsranklist.pdf
2025,kerala_state_medical_rank,101,595,1742,101,mbbsranklist.pdf
2025,kerala_state_medical_rank,102,595,1765,102,mbbsranklist.pdf
2025,kerala_state_medical_rank,103,594,1784,103,mbbsranklist.pdf
2025,kerala_state_medical_rank,104,594,1821,104,mbbsranklist.pdf
2025,kerala_state_medical_rank,105,594,1825,105,mbbsranklist.pdf
2025,kerala_state_medical_rank,106,594,1846,106,mbbsranklist.pdf
2025,kerala_state_medical_rank,107,593,1894,107,mbbsranklist.pdf
2025,kerala_state_medical_rank,108,593,1898,108,mbbsranklist.pdf
2025,kerala_state_medical_rank,109,593,1906,109,mbbsranklist.pdf
2025,kerala_state_medical_rank,110,593,1911,110,mbbsranklist.pdf
2025,kerala_state_medical_rank,111,593,1912,111,mbbsranklist.pdf
2025,kerala_state_medical_rank,112,593,1918,112,mbbsranklist.pdf
2025,kerala_state_medical_rank,113,593,1944,113,mbbsranklist.pdf
2025,kerala_state_medical_rank,114,593,1954,114,mbbsranklist.pdf
2025,kerala_state_medical_rank,115,592,1964,115,mbbsranklist.pdf
2025,kerala_state_medical_rank,116,592,1967,116,mbbsranklist.pdf
2025,kerala_state_medical_rank,117,592,1981,117,mbbsranklist.pdf
2025,kerala_state_medical_rank,118,592,1992,118,mbbsranklist.pdf
2025,kerala_state_medical_rank,119,592,1993,119,mbbsranklist.pdf
2025,kerala_state_medical_rank,120,592,1998,120,mbbsranklist.pdf
2025,kerala_state_medical_rank,121,592,2015,121,mbbsranklist.pdf
2025,kerala_state_medical_rank,122,592,2031,122,mbbsranklist.pdf
2025,kerala_state_medical_rank,123,592,2034,123,mbbsranklist.pdf
2025,kerala_state_medical_rank,124,592,2037,124,mbbsranklist.pdf
2025,kerala_state_medical_rank,125,591,2088,125,mbbsranklist.pdf
2025,kerala_state_medical_rank,126,591,2098,126,mbbsranklist.pdf
2025,kerala_state_medical_rank,127,591,2126,127,mbbsranklist.pdf
