path,bytes,ext,sha256_or_partial
data/external/bihar_super50/raw/_page_coaching.html,315,.html,ce7127c38e30e92a021ed2bd09287713c6a923db9ffdb43f126e8965d777fbf0
data/external/bihar_super50/raw/mirror_careers360_2025-27.html,145808,.html,378d9aa74ff6edb5fdf4adbd8e1743e09e9dafe872ad9531a5b4466adee3c665
data/external/bihar_super50/raw/mirror_news18.html,584,.html,12960bd28c12a063c326600ff49d23c49be3eacc47095f3ef537d9fb66ce6daa
data/external/cbse/raw/PRESS_RELEASE_27_School_Inspection_05092024.pdf,201653,.pdf,d4479724197cc137ede3e301031e6c0db1cdc48988dc735178f4a2f765dfede7
data/external/cbse/raw/PRESS_RELEASE_DISAFFILIATED_27032024.pdf,226959,.pdf,d623064783fc103a412c83261abf868c9d57157f023a7e460bdb787f1de20450
data/external/cbse/raw/PRESS_RELEASE_Showcause_27_School_AFF_13092024.pdf,328654,.pdf,8f5d9d984886c681f5dc775da7785ee10b814c6770858e6c6820a1f323e0b40e
data/external/cbse/raw/PRESS_RELEASE_Surprise_Inspection_17012025.pdf,2117347,.pdf,0070821e3666c442a7a956a1f0e0840a4b46d76e832cefa5f6be8e5acf2ceaa9
data/external/cbse/raw/PR_Surprise_Inspections_27_School_Delhi_Raj_06112024.pdf,1086783,.pdf,d3cd5f8209ebe98e365b470a469e8cbf9f7bff735336e1c6b92efc3b9555e1fc
data/external/cbse/raw/Press_Release_Aff_Inspection_19122024.pdf,844236,.pdf,6a6f4e3af3955a5aba70c48c7077b5c084274b0f97f331bcf4ddaed6d4351541
data/external/cbse/raw/Press_Release_Dummy_School_03092024.pdf,201812,.pdf,0d7253b3b3b691ca8478448be59379a5f736e8d3d32cea2f7d8db4e46809bb4d
data/external/cbse/raw/Surprise_Inspections_05_State_01_UT_18082025.pdf,651968,.pdf,b5d0e4a1456d911887b1404d2605a8edea26fd968e6a9d1527f8a87e4c8d5f5e
data/external/cbse/raw/_page_press.html,68173,.html,7acdb49c27bf453c5f5f889915bbdd8c38fe509909da447a7ae4ba5176a5a2f8
data/external/cbse/raw/disaffiliated.html,18505,.html,c8b6c2832eec0cb978c5ff7992d05aee1900e1649c3b206530ebdcdf29932419
data/external/cbse/raw/downgraded.html,12190,.html,488e1f9ede16200a647c713492256ae231888ccc7483c00a022d4b13cd389680
data/external/cbse/raw/mirror_indian_express_2024-03-22.html,752635,.html,0137ba7cfd122cfbbe5fe93f50039ebfbc929abdd9521a4612cf3333c763c222
data/external/cbse/raw/mirror_the_hindu_2024-03-22.html,201771,.html,6a9dbfd3c9a7139dee1794e56c8decd49fb72f11a87d43c9d268b38dfa8c8f6f
data/external/csrl/raw/_page_home.html,16,.html,bb2fb7b51f18478e3ccde6376dc39285b20472f0394e7034fd2e0bdf6a5716e2
data/external/csrl/raw/_page_super30.html,37136,.html,1a37c943f386896df4f413fb4583dd0cb948b9774cb63688f8379a401b0b3266
data/external/dakshana/raw/AR-18.pdf,56880733,.pdf,partial:4caccaafe599fd313eb4a9634cf50750179c04b2c4648b4789521b3814abb59d
data/external/dakshana/raw/AR-19.pdf,10841747,.pdf,partial:523e3a110cf866e274d85b61fb6fb93bb9c4073a9d1a650bbd5c6e980a55b0cd
data/external/dakshana/raw/AR07.pdf,6023564,.pdf,1952aa9bddf0f8e1c381baccb67002625ef32b974f1a958dbdaa0d3fb01a2cb1
data/external/dakshana/raw/AR08.pdf,329254,.pdf,65c4534c7924fa96a328bd15983b8cce27d68a4708ef5c84ca1b93a4774e2ebe
data/external/dakshana/raw/AR09.pdf,1581026,.pdf,2bd718a69e80be505fe6b0f5795c59a06622a6cc8245f81ef9803052c12d6ced
data/external/dakshana/raw/AR10.pdf,2690142,.pdf,2db569cb6bd5ed62aa2500894bbfa57cfe9b2954c443e580cffeb60c16eb3a98
data/external/dakshana/raw/AR11.pdf,971807,.pdf,09331844783d7145575119a807d4aa72941e0cc9dc1b894117f07ffa0117ee46
data/external/dakshana/raw/AR12.pdf,11864468,.pdf,partial:70cc590824f06c6572cb74d4cc5d4846511572f3c722b3c4849718a1464a6ff9
data/external/dakshana/raw/AR13.pdf,41486763,.pdf,partial:7b127c1491b1b2e33bdfea2444f3659b1167a807973c93e693f304678465725d
data/external/dakshana/raw/AR14.pdf,23126270,.pdf,partial:e15de30ecfcf82045ae4e56c6323cffc988812cc368180a687d708fb33bc0760
data/external/dakshana/raw/AR15.pdf,43533606,.pdf,partial:5f641a6364261052f64857fa976083b82f49eedbcd68b26afd3b5850efb53b01
data/external/dakshana/raw/AR16.pdf,8433279,.pdf,partial:20aceb5e2842255d80e90bf247ab4f98a1cd92866f9b13c7adc20f4a83b680a9
data/external/dakshana/raw/AR17.pdf,54506482,.pdf,partial:c0996fd394fdbff093effb0564d1a2c01270b77f804c3fb819a7b7325b4a156d
data/external/dakshana/raw/AR18.pdf,10305706,.pdf,partial:3ce5a9014a6de9d47c70fd8707ae51559cd6518278d668ef9e777c14b3587cd8
data/external/dakshana/raw/AR19.pdf,85812925,.pdf,partial:be5e7f62c28131aa8942cc66b4f5494178dec546081c605ae60c9a3a0ec9f4e0
data/external/dakshana/raw/AR20.pdf,2848713,.pdf,955717d5e1d7de2cdf5e69ea8259928104d0043eb1579c308f5b0fce38c10293
data/external/dakshana/raw/AR21.pdf,3925681,.pdf,3258b33c58446fae866e2f52b2d13612fd95e596d6e973cb60ce427105483fc4
data/external/dakshana/raw/AR22.pdf,2839054,.pdf,a280326470dbe804c122dabf32505ed2d2e97349bbda216dc782e3ca0a8ea548
data/external/dakshana/raw/AR23.pdf,4317673,.pdf,f086d840399ed943cae33c76e5ceb178f26b26769dca86140496f3d8eadb77c9
