source_file,round,sno,rank,allotted_quota,allotted_institute,course,allotted_category,candidate_category,remarks
019_final_result_round_3_ug_counselling_2024.pdf,3,1,655,Open Seat Quota,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESW AR-751019, Odisha, 751019",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,2,736,Open Seat Quota,"AIIMS, Raipur,Tatiban dh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3,891,Open Seat Quota,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,4,947,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,5,953,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,6,1002,Open Seat Quota,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,7,1033,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,8,1059,All India,"GOVT.MEDIC AL COLLEGE, AMRITSAR,CI RCULAR ROAD, AMRITSAR- 143001, Punjab, 143001",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,9,1068,Open Seat Quota,"INST.OF MED.SCIENC ES, BHU,VARANA SI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,10,1098,Open Seat Quota,"INST.OF MED.SCIENC ES, BHU,VARANA SI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,11,1104,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,12,1112,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,13,1135,Open Seat Quota,"AIIMS- Bhopal,,SAKE T NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,14,1196,Open Seat Quota,"AIIMS, Patna,Phulwar isharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,15,1220,Open Seat Quota,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,16,1419,All India,"Dr. B.S.A. Medical College, Delhi,DR.BAB A SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL, ROHINI SEC- 6, DELHI- 110085, Delhi (NCT), 110085",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,17,1476,Open Seat Quota,"AIIMS, Patna,Phulwar isharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,18,1526,All India,"Pt. D.D.U MEDICAL COLLEGE, RAJKOT,Civil Hospital Campus, Jamnagar Road Rajkot 360001, Gujarat, 360001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,19,1536,Open Seat Quota,"AIIMS Rajkot,Admissi on cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,20,1630,All India,"Dr. B.S.A. Medical College, Delhi,DR.BAB A SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL, ROHINI SEC- 6, DELHI- 110085, Delhi (NCT), 110085",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,21,1650,All India,"Dr. B.S.A. Medical College, Delhi,DR.BAB A SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL, ROHINI SEC- 6, DELHI- 110085, Delhi (NCT), 110085",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,22,1711,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,23,1752,All India,"NDMC Medical College, Delhi,North Delhi Municipal Corporation Medical College and Hindu Rao Hospital, Malka Ganj, Delhi (NCT), 110007",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,24,1911,Open Seat Quota,"AIIMS, Patna,Phulwar isharif, Patna, Bihar-801507, Bihar, 801507",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,25,1915,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGI RI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,26,1930,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGI RI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,27,2004,Open Seat Quota,"AIIMS, Patna,Phulwar isharif, Patna, Bihar-801507, Bihar, 801507",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,28,2045,All India,"GOVT.MEDIC AL COLLEGE, AMRITSAR,CI RCULAR ROAD, AMRITSAR- 143001, Punjab, 143001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,29,2048,All India,"MADRAS MEDICAL COLLEGE, CHENNAI,MA DRAS MEDICAL COLLEGE EVR PERIYAR SALAI,PARK TOWN,CHEN NAI,TAMIL NADU., Tamil Nadu, 600003",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,30,2059,All India,"KGMC, LUCKNOW,S HAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,31,2062,Open Seat Quota,"AIIMS, Raipur,Tatiban dh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,32,2126,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD, B J Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,33,2194,Open Seat Quota,"AIIMS Rajkot,Admissi on cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,34,2241,All India,"KGMC, LUCKNOW,S HAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,35,2271,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,36,2379,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MU MBAI,Sir JJ Group of HospitalComp ound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,37,2384,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,38,2448,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,39,2449,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,40,2573,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AII MS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,41,2588,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AII MS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,42,2604,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,ME DICAL COLLEGE ROAD, BIKANER, Rajasthan, 334003",MBBS,Open,General,Upgraded
