source_file,round,sno,rank,allotted_quota,allotted_institute,course,allotted_category,candidate_category,remarks
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,1,16179,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open,EWS,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,2,17771,All India,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH, Uttar Pradesh, 201310",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,3,18259,All India,"MOTI LAL NEHRU MEDICAL COLL, ALLAHABAD,Principal Office Moti Lal Nehru Medical College, Lowther Road George Town Prayagraj, Uttar Pradesh, 211001",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,4,18962,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,5,21115,All India,"MOTI LAL NEHRU MEDICAL COLL, ALLAHABAD,Principal Office Moti Lal Nehru Medical College, Lowther Road George Town Prayagraj, Uttar Pradesh, 211001",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,6,21292,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,7,21541,All India,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,8,22785,All India,"Chhindwara Institute of Medical Sciences,Teachers Colony, Chhindwara, Madhya Pradesh 480001, Madhya Pradesh, 480001",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,9,22926,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR SHIMLA, Himachal Pradesh, 171001",MBBS,EWS,EWS,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,10,23861,All India,"Rani Durgavati Medical College, Banda,RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001, Uttar Pradesh, 210001",MBBS,OBC,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,11,24800,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College, Patiala, Punjab, 147001",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,12,24924,All India,"RAJIV GANDHI MEDICAL COLLEGE, THANE,THANE BELAPUR ROAD KALWA THANE WEST, Maharashtra, 400605",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,13,24996,Open Seat Quota,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,14,25037,Open Seat Quota,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,15,25076,All India,"BELGAUM INST. OF MEDICAL SCI., BELGAUM,DR B R AMBEDKAR ROAD BELAGAVI., Karnataka, 590001",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,16,25087,Open Seat Quota,"JIPMER KARAIKAL,JIPMER Academic Campus, FCI Link Road, Kovilpathu, Karaikal - 609602, Puducherry, 609602",MBBS,OBC,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,17,25097,All India,"Diamond Harbour Govt Medical College,New Town, Post-Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas, West Bengal, 743331",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,18,25115,All India,"Government Medical College, Sundargarh,At-Chitabhanga,Po-Sankara,Dist- Sundargarh,Odisha,Pin-770001, Odisha, 770001",MBBS,Open,OBC,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,19,25123,All India,"Government Medical College & Hospital, Jalpaiguri,Hospital Road, Jalpaiguri, West Bengal- 735101, West Bengal, 735101",MBBS,Open,General,Allotted
029_final_allotment_result_for_ug_special_stray_vacancy_round_2024.pdf,special_stray,20,25124,All India,"Govt. Medical College Rajanna Sircilla,GOVERNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA, Telangana, 505301",MBBS,Open,General,Allotted
