source_file,matrix_title,institute,institute_code,program,quota,open,open_pwd,general_ews,general_ews_pwd,obc,obc_pwd,sc,sc_pwd,st,st_pwd,total_seats
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Govt. Medical College Rajanna Sircilla,200656,MBBS,All India,6,0,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ACSR Govt Medical College, Nellore",200446,MBBS,All India,10,0,3,0,7,0,3,1,2,0,26
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA",200285,MBBS,All India,7,1,2,1,6,0,3,1,2,0,23
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Andaman and Nicobar Islands Institute of Medical S,200101,MBBS,All India,7,0,2,0,4,1,2,0,1,0,17
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Andhra Medical College, Visakhapatnam",200421,MBBS,All India,13,1,5,0,9,1,4,1,3,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",200109,MBBS,All India,8,0,2,0,4,1,2,0,1,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ASSAM MEDICAL COLLEGE, DIBRUGARH",200102,MBBS,All India,13,1,2,0,8,0,4,0,2,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA",200483,MBBS,All India,10,1,3,0,7,0,4,0,2,0,27
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",200498,MBBS,All India,6,0,1,0,4,0,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical Collage, Kushinagar, Uttar Pradesh",902822,MBBS,All India,5,0,2,0,5,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College , Fatehpur",200563,MBBS,All India,7,0,1,0,3,1,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College ,Etah",200552,MBBS,All India,5,0,2,0,4,0,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Autonomous State Medical college Society Hardoi,200570,MBBS,All India,4,1,2,0,4,0,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College Society , Mirzapur",200574,MBBS,All India,5,0,1,0,5,0,2,0,2,0,15
