school_type,school_type_label,sector,social_group,n_unweighted,coaching_rate_weighted,coaching_exp_p50,coaching_exp_p90,source_wave,notes
1,government,rural,ST,715,0.21547272730690165,6800.0,21000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,rural,SC,762,0.396604868727674,8200.0,17500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,rural,OBC,1446,0.45763814613052456,7300.0,18000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,rural,Others,623,0.43799004681104403,9915.0,21000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,urban,ST,312,0.2745429840043778,11400.0,35800.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,urban,SC,381,0.5783544978750027,800.0,20500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,urban,OBC,806,0.3434851712005216,9550.0,31000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,urban,Others,526,0.5635774935858728,13800.0,39500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,rural,ST,112,0.20717005037676486,9550.0,21000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,rural,SC,161,0.32976645748648037,8100.0,24200.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,rural,OBC,394,0.38593804582707525,9650.0,28750.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,rural,Others,258,0.48722151523982127,12800.0,31000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,urban,ST,81,0.3789082164807709,11220.0,27500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,urban,SC,113,0.4634301094597591,10500.0,35000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,urban,OBC,382,0.49495372627699163,17940.0,48800.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,urban,Others,295,0.5395560440327789,22000.0,54000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,rural,ST,150,0.21388037568699486,11450.0,18550.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,rural,SC,188,0.24248776462082125,7000.0,20300.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,rural,OBC,810,0.25754031305428127,8500.0,29300.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,rural,Others,395,0.28208879399864073,10400.0,26800.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,urban,ST,203,0.33402328169899104,13400.0,29000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,urban,SC,216,0.37562284822472164,16000.0,39500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,urban,OBC,994,0.37834084456574935,14150.0,40000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,urban,Others,973,0.49767013978900143,22000.0,68500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
1,government,all,all,5571,0.4180069398284078,,,cmse_2025,Class X-XII school tutoring; not NEET-specific
2,govt_aided_private,all,all,1796,0.43493004264176804,,,cmse_2025,Class X-XII school tutoring; not NEET-specific
3,private_unaided_recognised,all,all,3929,0.3353360789078276,,,cmse_2025,Class X-XII school tutoring; not NEET-specific
4,private_unaided_unrecognised,all,all,13,0.11050882658750986,,,cmse_2025,Class X-XII school tutoring; not NEET-specific
5,others,all,all,20,0.34735320271010384,,,cmse_2025,Class X-XII school tutoring; not NEET-specific
