field,source_wave,occupation_definition,n_unweighted,monthly_median,monthly_mean_weighted,geometric_sd,p10,p25,p75,p90,p95,unit,notes
medicine_nco_221,plfs_2025,NCO-2015 221 (medical doctors),981,53000.0,67332.23704027598,2.047124693907394,20000.0,34200.0,85000.0,135000.0,180000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
nursing_nco_222,plfs_2025,NCO-2015 222 (nursing/midwifery professionals),986,18000.0,24321.39208699748,2.0171323314761356,8000.0,12000.0,31100.0,50000.0,65000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
health_nco_22x,plfs_2025,NCO-2015 22x health professionals,3174,25000.0,39053.91386287261,2.314679128167307,10000.0,15000.0,50000.0,80000.0,110000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
engineering_nco_21x,plfs_2025,NCO-2015 21x science/engineering professionals,2173,40000.0,48971.418449935554,1.848652466907679,20000.0,28000.0,62800.0,85000.0,100000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
non_professional_graduate,plfs_2025,gedu>=11 and NCO not 21x/22x; positive earners,74207,24000.0,31424.815037802437,2.2902259173717447,8000.0,14600.0,40000.0,62500.0,80000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
no_college,plfs_2025,"gedu<11, age 18-59; positive earners",207051,12000.0,13957.570957819311,2.2229745867070347,3500.0,7000.0,18000.0,25000.0,32000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
all_positive_earners,plfs_2025,any positive ern_reg+ern_self,315428,13500.0,17859.207685712114,2.4213269667688246,4000.0,8000.0,20000.0,35000.0,50000.0,INR/month,Weighted with PLFS mult; CWS regular+self-employed earnings among positive earners
medicine_nco_221,plfs_2023_24,medicine_nco_221,339,50000.0,55860.71817164101,2.0666901617647526,15000.0,28000.0,75000.0,100800.0,120000.0,INR/month,Visit-1; weighted with mult_perv1; keep separate from PLFS 2025 revamp
nursing_nco_222,plfs_2023_24,nursing_nco_222,297,19000.0,25637.467984010764,2.178691616362708,7000.0,11000.0,35600.0,55000.0,70500.0,INR/month,Visit-1; weighted with mult_perv1; keep separate from PLFS 2025 revamp
engineering_nco_21x,plfs_2023_24,engineering_nco_21x,810,35000.0,39480.246142414275,1.8123685049928056,15000.0,25000.0,50000.0,70000.0,80000.0,INR/month,Visit-1; weighted with mult_perv1; keep separate from PLFS 2025 revamp
non_professional_graduate,plfs_2023_24,non_professional_graduate,23851,22000.0,28836.1596653167,2.2831965074325744,8000.0,13000.0,40000.0,58000.0,70000.0,INR/month,Visit-1; weighted with mult_perv1; keep separate from PLFS 2025 revamp
no_college,plfs_2023_24,no_college,80680,11000.0,12815.090412774092,2.2379083308152428,3000.0,6500.0,16000.0,23400.0,30000.0,INR/month,Visit-1; weighted with mult_perv1; keep separate from PLFS 2025 revamp
