field,age_band,sex,sector,n_unweighted,lfp_weighted,employment_given_lf_weighted,unemployment_given_lf_weighted,zero_earnings_share_weighted,monthly_earn_p50_if_positive,monthly_earn_p90_if_positive,source_wave,notes
medicine_technical_education,22_35,all,all,1682,0.7338284086997311,0.8937118021901502,0.10628819780984983,0.38177671771382604,28500.0,65000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
medicine_technical_education,22_35,all,rural,461,0.7302118502590895,0.8822103777109671,0.1177896222890329,0.41590115925905674,20000.0,53000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
medicine_technical_education,22_35,all,urban,1221,0.7361305317805091,0.9009741781790779,0.09902582182092208,0.36005477797766017,35000.0,75000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
medicine_technical_education,22_35,male,all,790,0.8356664673667785,0.9121425296052941,0.0878574703947059,0.28758619710755173,30000.0,65000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
medicine_technical_education,22_35,female,all,892,0.6477194774492449,0.8736057603446217,0.12639423965537835,0.46141929112393365,25000.0,65000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineering_technical_education,22_35,all,all,6823,0.861870455423168,0.8372234399846281,0.16277656001537186,0.3312655510136997,36000.0,79000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineering_technical_education,22_35,all,rural,1462,0.8546368622707432,0.7757651031707341,0.22423489682926595,0.4318848183071045,28000.0,58500.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineering_technical_education,22_35,all,urban,5361,0.8643726541492257,0.8582432664063243,0.1417567335936757,0.2964599713891374,40000.0,81000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineering_technical_education,22_35,male,all,5012,0.9508545946473684,0.8518385529299406,0.14816144707005946,0.25462800637738975,36000.0,79500.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineering_technical_education,22_35,female,all,1811,0.6390200179047184,0.7827602958177692,0.21723970418223085,0.5231953769516755,36000.0,75800.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
graduate_plus_general,22_35,all,all,89403,0.6886411317753174,0.8340468518363537,0.1659531481636462,0.5467546869782058,20000.0,50000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
graduate_plus_general,22_35,all,rural,34225,0.6940251056329411,0.8293033857433355,0.17069661425666452,0.6035172651679609,15000.0,37000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
graduate_plus_general,22_35,all,urban,55178,0.6832349621328967,0.838885094276581,0.161114905723419,0.48975810134277076,25000.0,60000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
graduate_plus_general,22_35,male,all,47699,0.92538705490506,0.8655119677036676,0.13448803229633247,0.37442971812393727,21200.0,50000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
graduate_plus_general,22_35,female,all,41702,0.4198282146568676,0.75529590323683,0.2447040967631699,0.7424218755856844,16000.0,48000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
doctor_nco_221,22_35,all,all,418,1.0,1.0,,0.04957460082659627,45240.0,100000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
doctor_nco_221,22_35,all,rural,78,1.0,1.0,,0.05510629430921457,38000.0,70000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
doctor_nco_221,22_35,all,urban,340,1.0,1.0,,0.047929677276922836,50000.0,135000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
doctor_nco_221,22_35,male,all,246,1.0,1.0,,0.047559652893252514,45000.0,122000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
doctor_nco_221,22_35,female,all,172,1.0,1.0,,0.052491557936029595,55000.0,100000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
nurse_nco_222,22_35,all,all,534,1.0,1.0,,0.06404502099594732,17600.0,40000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
nurse_nco_222,22_35,all,rural,185,1.0,1.0,,0.09209472873277318,15000.0,35000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
nurse_nco_222,22_35,all,urban,349,1.0,1.0,,0.03873888669758283,20000.0,40000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
nurse_nco_222,22_35,male,all,139,1.0,1.0,,0.0447122783094263,15000.0,40000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
nurse_nco_222,22_35,female,all,395,1.0,1.0,,0.06981015221413953,18000.0,38000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
