exam_year,state,city,center_name,center_id,sno,marks
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,1,88
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,2,166
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,3,104
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,4,241
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,5,112
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,6,38
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,7,55
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,8,151
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,9,161
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,10,59
