marks,candidates,share,cumulative_share
-180,2,8.572058005402111e-07,8.572058005402111e-07
-170,1,4.2860290027010557e-07,1.2858087008103167e-06
-149,1,4.2860290027010557e-07,1.7144116010804223e-06
-144,1,4.2860290027010557e-07,2.1430145013505277e-06
-140,1,4.2860290027010557e-07,2.5716174016206333e-06
-136,1,4.2860290027010557e-07,3.000220301890739e-06
-135,2,8.572058005402111e-07,3.85742610243095e-06
-129,1,4.2860290027010557e-07,4.286029002701055e-06
-126,1,4.2860290027010557e-07,4.714631902971161e-06
-105,1,4.2860290027010557e-07,5.143234803241267e-06
-103,1,4.2860290027010557e-07,5.571837703511372e-06
-102,1,4.2860290027010557e-07,6.000440603781478e-06
-98,1,4.2860290027010557e-07,6.4290435040515835e-06
-96,1,4.2860290027010557e-07,6.857646404321689e-06
-92,1,4.2860290027010557e-07,7.286249304591795e-06
-89,2,8.572058005402111e-07,8.143455105132006e-06
-87,1,4.2860290027010557e-07,8.57205800540211e-06
-85,1,4.2860290027010557e-07,9.000660905672216e-06
-81,1,4.2860290027010557e-07,9.42926380594232e-06
-80,1,4.2860290027010557e-07,9.857866706212425e-06
-78,1,4.2860290027010557e-07,1.028646960648253e-05
-70,4,1.7144116010804223e-06,1.2000881207562952e-05
-68,1,4.2860290027010557e-07,1.2429484107833057e-05
-67,2,8.572058005402111e-07,1.3286689908373268e-05
-65,4,1.7144116010804223e-06,1.5001101509453691e-05
-63,1,4.2860290027010557e-07,1.5429704409723796e-05
-60,4,1.7144116010804223e-06,1.7144116010804218e-05
-59,1,4.2860290027010557e-07,1.7572718911074325e-05
-58,1,4.2860290027010557e-07,1.800132181134443e-05
-56,1,4.2860290027010557e-07,1.8429924711614538e-05
-55,4,1.7144116010804223e-06,2.014433631269496e-05
-54,1,4.2860290027010557e-07,2.0572939212965067e-05
-53,3,1.2858087008103167e-06,2.1858747913775383e-05
-52,2,8.572058005402111e-07,2.2715953714315592e-05
-51,2,8.572058005402111e-07,2.35731595148558e-05
-50,11,4.714631902971161e-06,2.8287791417826963e-05
-49,5,2.1430145013505277e-06,3.043080591917749e-05
-48,5,2.1430145013505277e-06,3.257382042052802e-05
-47,7,3.000220301890739e-06,3.557404072241876e-05
-46,4,1.7144116010804223e-06,3.728845232349918e-05
-45,12,5.143234803241267e-06,4.243168712674044e-05
-44,8,3.4288232021608446e-06,4.586051032890129e-05
-43,7,3.000220301890739e-06,4.886073063079203e-05
-42,2,8.572058005402111e-07,4.971793643133224e-05
-41,10,4.286029002701055e-06,5.40039654340333e-05
-40,31,1.3286689908373272e-05,6.729065534240658e-05
-39,14,6.000440603781478e-06,7.329109594618806e-05
-38,13,5.571837703511372e-06,7.886293364969943e-05
-37,6,2.5716174016206333e-06,8.143455105132006e-05
-36,17,7.286249304591794e-06,8.872080035591185e-05
-35,52,2.228735081404549e-05,0.00011100815116995734
-34,26,1.1143675407022744e-05,0.00012215182657698007
-33,18,7.7148522048619e-06,0.00012986667878184198
-32,25,1.0715072506752638e-05,0.00014058175128859462
-31,17,7.286249304591794e-06,0.00014786800059318642
-30,91,3.9002863924579604e-05,0.00018687086451776603
-29,35,1.5001101509453694e-05,0.00020187196602721973
-28,28,1.2000881207562956e-05,0.0002138728472347827
-27,42,1.8001321811344434e-05,0.00023187416904612714
-26,47,2.014433631269496e-05,0.0002520185053588221
-25,148,6.343322923997562e-05,0.0003154517345987977
-24,86,3.6859849423229075e-05,0.00035231158402202677
-23,68,2.9144997218367176e-05,0.00038145658124039394
-22,83,3.557404072241876e-05,0.0004170306219628127
-21,80,3.428823202160844e-05,0.0004513188539844212
-20,266,0.00011400837147184807,0.0005653272254562692
-19,139,5.9575803137544674e-05,0.000624903028593814
-18,109,4.671771612944151e-05,0.0006716207447232554
-17,134,5.7432788636194145e-05,0.0007290535333594496
-16,155,6.643344954186636e-05,0.000795486982901316
-15,445,0.00019072829062019697,0.0009862152735215129
-14,245,0.00010500771056617586,0.0010912229840876887
-13,229,9.815006416185417e-05,0.001189373048249543
-12,259,0.00011100815116995734,0.0013003811994195002
-11,228,9.772146126158406e-05,0.0013981026606810843
-10,787,0.0003373104825125731,0.0017354131431936573
-9,404,0.00017315557170912265,0.00190856871490278
-8,357,0.00015301123539642768,0.002061579950299208
-7,389,0.00016672652820507106,0.002228306478504279
-6,436,0.00018687086451776603,0.002415177343022045
-5,1168,0.0005006081875154833,0.002915785530537528
-4,684,0.0002931643837847522,0.0032089499143222802
-3,600,0.0002571617401620633,0.0034661116544843435
-2,675,0.0002893069576823212,0.0037554186121666645
-1,715,0.00030645107369312545,0.00406186968585979
0,2259,0.0009682139517101685,0.005030083637569958
1,1012,0.0004337461350733468,0.005463829772643305
2,1020,0.00043717495827550764,0.005901004730918813
3,961,0.00041188738715957143,0.006312892118078384
4,1040,0.00044574701628090975,0.006758639134359294
5,2512,0.0010766504854785052,0.0078352896198378
6,1410,0.0006043300893808488,0.008439619709218648
7,1394,0.0005974724429765271,0.009037092152195175
8,1388,0.0005949008255749065,0.00963199297777008
9,1501,0.0006433329533054285,0.01027532593107551
10,3415,0.0014636789044224104,0.01173900483549792
11,2111,0.0009047807224701928,0.012643785557968112
12,1942,0.000832346832324545,0.013476132390292658
13,1949,0.0008353470526264357,0.014311479442919094
14,2032,0.0008709210933488544,0.015182400536267949
15,4512,0.0019338562860187162,0.017116256822286666
16,2654,0.0011375120973168601,0.018253768919603525
17,2472,0.001059506369467701,0.019313275289071227
18,2613,0.0011199393784057858,0.020433214667477013
19,2572,0.0011023666594947115,0.021535581326971726
20,5740,0.002460180647550406,0.02399576197452213
21,3483,0.0014928239016407776,0.025488585876162907
22,3150,0.0013500991358508325,0.026838685012013738
23,3152,0.0013509563416513727,0.028189641353665112
24,3287,0.001408817733187837,0.02959845908685295
25,7121,0.003052081252823422,0.03265054033967637
26,4241,0.0018177049000455176,0.03446824523972189
27,3639,0.0015596859540829141,0.036027931193804805
28,3813,0.0016342628587299125,0.037662194052534716
29,3984,0.0017075539546761004,0.03936974800721082
30,8468,0.003629409359487254,0.04299915736669807
31,4862,0.0020838673011132534,0.045083024667811326
32,4465,0.0019137119497060213,0.04699673661751735
33,4528,0.0019407139324230378,0.048937450549940385
34,4579,0.0019625726803368135,0.050900023230277196
35,9965,0.0042710279011916015,0.0551710511314688
36,5656,0.002424178003927717,0.05759522913539652
37,5233,0.0022428789771134624,0.05983810811250998
38,5054,0.0021661590579651136,0.062004267170475094
39,5185,0.0022223060379004973,0.06422657320837559
40,11056,0.004738633665386287,0.06896520687376187
41,6523,0.0027957767184618983,0.07176098359222377
42,5752,0.002465323882353647,0.07422630747457742
43,5672,0.002431035650332039,0.07665734312490946
44,5879,0.0025197564506879507,0.07917709957559742
45,12593,0.005397396323101439,0.08457449589869885
46,7272,0.0031168002907642077,0.08769129618946306
47,6452,0.002765345912542721,0.09045664210200578
48,6336,0.0027156279761113887,0.09317227007811717
49,6521,0.002794919512661358,0.09596718959077853
50,13853,0.005937435977441772,0.1019046255682203
51,7730,0.003313100419087916,0.10521772598730822
52,7015,0.0030066493453947906,0.10822437533270302
53,6747,0.0028917837681224023,0.11111615910082542
54,6674,0.0028604957564026846,0.1139766548572281
55,14384,0.0061650241174851985,0.1201416789747133
56,7961,0.0034121076890503105,0.12355378666376361
57,7500,0.0032145217520257916,0.1267683084157894
58,7151,0.003064939339831525,0.1298332477556209
59,7098,0.003042223386117209,0.13287547114173812
60,15277,0.006547766507426402,0.1394232376491645
61,8567,0.0036718410466139943,0.1430950786957785
62,7740,0.003317386448090617,0.14641246514386913
63,7415,0.0031780905055028325,0.14959055564937196
64,7281,0.0031206577168666383,0.1527112133662386
65,15811,0.006776640456170639,0.15948785382240924
66,8945,0.003833852942916094,0.16332170676532534
67,7972,0.0034168223209532812,0.16673852908627862
68,7604,0.0032590964536538826,0.1699976255399325
69,7625,0.0032680971145595547,0.17326572265449205
70,16153,0.006923222648063015,0.18018894530255508
71,8914,0.0038205662530077207,0.1840095115555628
72,8134,0.0034862559907970383,0.18749576754635985
73,7769,0.00332981593219845,0.1908255834785583
74,7814,0.003349103062710605,0.1941746865412689
75,16157,0.006924937059664096,0.201099623600933
76,9016,0.0038642837488352716,0.20496390734976827
77,8238,0.0035308306924251294,0.2084947380421934
78,7996,0.003427108790559764,0.21192184683275317
79,7701,0.003300670934980083,0.21522251776773324
80,15974,0.0068465027289146664,0.2220690204966479
81,8910,0.0038188518414066404,0.22588787233805455
82,8149,0.00349268503430109,0.22938055737235563
83,7870,0.003373104825125731,0.23275366219748136
84,7947,0.0034061072484465288,0.2361597694459279
85,15784,0.006765068177863346,0.24292483762379125
86,8955,0.003838138971918795,0.24676297659571003
87,8189,0.0035098291503118943,0.25027280574602195
88,7722,0.003309671595885755,0.2535824773419077
89,7750,0.003321672477093318,0.256904149819001
90,15302,0.006558481579933155,0.26346263139893417
91,8810,0.0037759915513796297,0.2672386229503138
92,7976,0.003418536732554362,0.2706571596828682
93,7716,0.0033070999784841344,0.2739642596613523
94,7832,0.0033568179149154665,0.2773210775762678
95,14652,0.006279889694757587,0.28360096727102535
96,8676,0.0037185587627434355,0.2873195260337688
97,7978,0.003419393938354902,0.2907389199721237
98,7640,0.0032745261580636063,0.2940134461301873
99,7476,0.003204235282419309,0.2972176814126066
100,14246,0.006105876917247924,0.3033235583298545
101,8475,0.0036324095797891447,0.3069559679096437
102,7777,0.003333244755400611,0.3102892126650443
103,7380,0.003163089403993379,0.3134523020690377
104,7397,0.003170375653297971,0.31662267772233565
105,13571,0.005816569959565602,0.32243924768190124
106,8287,0.003551832234538365,0.3259910799164396
107,7374,0.003160517786591758,0.3291515977030314
108,7359,0.0031540887430877066,0.3323056864461191
109,7240,0.003103084997955564,0.33540877144407466
110,13039,0.005588553216621907,0.34099732466069654
111,8051,0.00345068195007462,0.3444480066107712
112,7460,0.0031973776360149876,0.34764538424678615
113,7152,0.003065367942731795,0.35071075218951797
114,7137,0.0030589388992277432,0.35376969108874573
115,12363,0.005298817656039315,0.359068508744785
116,7651,0.0032792407899665775,0.3623477495347516
117,7042,0.0030182216237020832,0.36536597115845365
118,6887,0.002951788174160217,0.36831775933261385
119,6945,0.002976647142375883,0.37129440647498974
120,11658,0.004996652611348891,0.37629105908633864
121,7352,0.003151088522785816,0.3794421476091245
122,7001,0.003000648904791009,0.3824427965139155
123,6671,0.002859209947701874,0.3853020064616174
124,6588,0.002823635906979455,0.38812564236859687
125,10999,0.004714203300070891,0.39283984566866775
126,7178,0.0030765116181388176,0.3959163572868066
127,6786,0.0029084992812329364,0.3988248565680395
128,6627,0.0028403514200899893,0.4016652079881295
129,6509,0.002789776277858117,0.4044549842659876
130,10470,0.004487472365828005,0.4089424566318156
131,6951,0.0029792187597775036,0.41192167539159313
132,6495,0.0027837758372543354,0.41470545122884744
133,6301,0.002700626874601935,0.4174060781034494
134,6310,0.002704484300704366,0.42011056240415373
135,10023,0.004295886869407268,0.424406449273561
136,6605,0.002830922156284047,0.4272373714298451
137,6345,0.0027194854022138198,0.4299568568320589
138,6125,0.0026251927641543966,0.4325820495962133
139,6118,0.0026221925438525058,0.4352042421400658
140,9446,0.004048582995951417,0.4392528251360172
141,6404,0.002744772973329756,0.44199759810934697
142,6030,0.0025844754886287366,0.4445820735979757
143,5993,0.0025686171813187426,0.4471506907792944
144,5787,0.0024803249838631007,0.4496310157631575
145,9091,0.0038964289663555294,0.453527444729513
146,6133,0.0026286215873565573,0.45615606631686956
147,5951,0.002550615859507398,0.45870668217637695
148,5748,0.0024636094707525666,0.4611702916471295
149,5802,0.0024867540273671523,0.46365704567449667
150,8504,0.0036448390638969775,0.4673018847383936
151,6074,0.002603334016240621,0.46990521875463426
152,5720,0.0024516085895450036,0.4723568273441793
153,5597,0.0023988904328117806,0.47475571777699105
154,5475,0.002346600878978828,0.47710231865596986
155,8020,0.0034373952601662464,0.4805397139161361
156,5788,0.002480753586763371,0.48302046750289945
157,5554,0.002380460508100166,0.4854009280109996
158,5494,0.00235474433408396,0.48775567234508355
159,5355,0.002295168530946415,0.49005084087602996
160,7826,0.003354246297513846,0.4934050871735438
161,5642,0.0024181775633239353,0.4958232647368677
162,5365,0.0022994545599491164,0.49812271929681684
163,5238,0.0022450219916148127,0.5003677412884316
164,5113,0.0021914466290810495,0.5025591879175126
165,7349,0.0031498027140850057,0.5057089906315977
166,5364,0.002299025957048846,0.5080080165886466
167,5231,0.0022420217713129222,0.5102500383599595
168,4996,0.0021413000897494475,0.512391338449709
169,5006,0.0021455861187521484,0.5145369245684611
170,7038,0.003016507212101003,0.5175534317805621
171,5311,0.0022763100033345307,0.5198297417838966
172,4927,0.00211172648963081,0.5219414682735274
173,4979,0.0021340138404448553,0.5240754821139723
174,4847,0.002077438257609202,0.5261529203715815
175,6640,0.0028459232577935007,0.528998843629375
176,5140,0.0022030189073883426,0.5312018625367634
177,4914,0.002106154651927299,0.5333080171886907
178,4744,0.0020332921588813806,0.5353413093475721
179,4755,0.002038006790784352,0.5373793161383564
180,6586,0.002822778701178915,0.5402020948395353
181,5044,0.0021618730289624122,0.5423639678684977
182,4768,0.002043578628487863,0.5444075464969855
183,4689,0.002009718999366525,0.5464172654963521
184,4792,0.002053865098094346,0.5484711305944464
185,6266,0.002685625773092481,0.5511567563675389
186,4736,0.00202986333567922,0.5531866197032181
187,4624,0.001981859810848968,0.5551684795140671
188,4560,0.001954429225231681,0.5571229087392988
189,4422,0.0018952820249944068,0.5590181907642933
190,6003,0.0025729032103214435,0.5615910939746147
191,4643,0.0019900032659541,0.5635810972405688
192,4455,0.0019094259207033202,0.5654905231612721
193,4450,0.0019072829062019697,0.5673978060674741
194,4305,0.0018451354856628044,0.5692429415531369
195,5667,0.0024288926358306882,0.5716718341889676
196,4484,0.0019218554048111532,0.5735936895937788
197,4316,0.0018498501175657756,0.5754435397113445
198,4433,0.0018999966568973778,0.5773435363682419
199,4304,0.0018447068827625343,0.5791882432510044
200,5563,0.002384317934202597,0.581572561185207
201,4401,0.0018862813640887345,0.5834588425492957
202,4361,0.0018691372480779303,0.5853279797973736
203,4256,0.0018241339435495691,0.5871521137409231
204,4154,0.0017804164477220185,0.5889325301886451
205,5211,0.00223344971330752,0.5911659799019526
206,4325,0.0018537075436682066,0.5930196874456208
207,4182,0.0017924173289295814,0.5948121047745504
208,4076,0.0017469854215009502,0.5965590901960514
209,4091,0.0017534144650050017,0.5983125046610563
210,5026,0.0021541581767575506,0.6004666628378139
211,4136,0.0017727015955171566,0.602239364433331
212,4020,0.0017229836590858243,0.6039623480924169
213,4021,0.0017234122619860944,0.605685760354403
214,3956,0.0016955530734685375,0.6073813134278716
215,4995,0.002140871486849177,0.6095221849147208
216,3886,0.0016655508704496301,0.6111877357851704
217,3942,0.001689552632864756,0.6128772884180351
218,3941,0.001689124029964486,0.6145664124479996
219,3905,0.001673694325554762,0.6162401067735543
220,4906,0.0021027258287251377,0.6183428326022795
221,3951,0.001693410058967187,0.6200362426612467
222,3848,0.001649263960239366,0.621685506621486
223,3705,0.0015879737455007411,0.6232734803669868
224,3744,0.0016046892586112753,0.6248781696255981
225,4628,0.0019835742224500485,0.6268617438480482
226,4014,0.0017204120416842038,0.6285821558897323
227,3777,0.0016188331543201886,0.6302009890440525
228,3782,0.001620976168821539,0.631821965212874
229,3703,0.001587116539700201,0.6334090817525743
230,4477,0.0019188551845092626,0.6353279369370836
231,3729,0.0015982602151072235,0.6369261971521908
232,3669,0.0015725440410910172,0.6384987411932818
233,3700,0.0015858307309993905,0.6400845719242811
234,3652,0.0015652577917864255,0.6416498297160675
235,4338,0.0018592793813717178,0.6435091090974393
236,3567,0.0015288265452634666,0.6450379356427027
237,3482,0.0014923952987405075,0.6465303309414432
238,3564,0.0015275407365626561,0.6480578716780059
239,3528,0.0015121110321529325,0.6495699827101589
240,4162,0.0017838452709241792,0.6513538279810831
241,3655,0.0015665436004872358,0.6529203715815703
242,3575,0.0015322553684656273,0.6544526269500359
243,3533,0.001514254046654283,0.6559668809966902
244,3507,0.0015031103712472601,0.6574699913679375
245,4059,0.0017396991721963585,0.6592096905401339
246,3506,0.00150268176834699,0.6607123723084809
247,3462,0.0014838232407351055,0.662196195549216
248,3452,0.0014795372117324043,0.6636757327609485
249,3284,0.0014075319244870267,0.6650832646854355
250,4117,0.0017645581404120245,0.6668478228258475
251,3508,0.0015035389741475302,0.6683513617999951
252,3397,0.0014559640522175486,0.6698073258522127
253,3376,0.0014469633913118762,0.6712542892435246
254,3381,0.001449106405813227,0.6727033956493378
255,3905,0.001673694325554762,0.6743770899748925
256,3342,0.0014323908927026928,0.6758094808675952
257,3302,0.0014152467766918885,0.6772247276442871
258,3340,0.0014315336869021526,0.6786562613311893
259,3255,0.0013951024403791935,0.6800513637715685
260,3719,0.0015939741861045226,0.681645337957673
261,3328,0.0014263904520989113,0.6830717284097719
262,3223,0.0013813871475705502,0.6844531155573425
263,3233,0.0013856731765732513,0.6858387887339157
264,3291,0.0014105321447889173,0.6872493208787046
265,3749,0.0016068322731126257,0.6888561531518173
266,3294,0.0014118179534897276,0.690267971105307
267,3172,0.0013595283996567747,0.6916274995049638
268,3047,0.0013059530371230116,0.6929334525420868
269,3208,0.0013749581040664986,0.6943084106461533
270,3665,0.0015708296294899369,0.6958792402756433
271,3254,0.0013946738374789234,0.6972739141131222
272,3120,0.0013372410488427292,0.6986111551619649
273,3097,0.001327383182136517,0.6999385383441015
274,3230,0.001384387367872441,0.7013229257119739
275,3610,0.001547256469975081,0.702870182181949
276,3146,0.001348384724249752,0.7042185669061988
277,3052,0.001308096051624362,0.7055266629578232
278,2998,0.0012849514950097763,0.7068116144528329
279,2979,0.0012768080399046444,0.7080884224927375
280,3416,0.0014641075073226805,0.7095525300000602
281,2997,0.0012845228921095062,0.7108370528921697
282,2973,0.0012742364225030239,0.7121112893146727
