year,neet_period,quota_group,applied_english_medium,applied_tamil_medium,applied_other,govt_allotted_english_medium,govt_allotted_tamil_medium,self_financing_allotted_english_medium,self_financing_allotted_tamil_medium,source,source_table,govt_rate_english,govt_rate_tamil,rate_ratio_english_to_tamil
2010-2011,pre_neet,ordinary,12963,5277,8,1307,382,577,83,Justice A.K. Rajan Committee 2021,Table 7.18,0.10082542621306796,0.07238961531173015,1.3928161626344493
2011-2012,pre_neet,ordinary,15644,5204,18,1364,339,720,120,Justice A.K. Rajan Committee 2021,Table 7.18,0.08718997698798261,0.06514219830899308,1.3384561659158158
2012-2013,pre_neet,ordinary,21622,6725,7,1477,392,727,111,Justice A.K. Rajan Committee 2021,Table 7.18,0.06831005457404496,0.05828996282527881,1.1719008087001335
2013-2014,pre_neet,ordinary,22592,6967,10,1803,471,894,99,Justice A.K. Rajan Committee 2021,Table 7.18,0.07980701133144476,0.06760442084110808,1.1804998894823262
2014-2015,pre_neet,ordinary,21962,6082,9,1767,481,778,121,Justice A.K. Rajan Committee 2021,Table 7.18,0.08045715326472999,0.07908582703058205,1.0173397217382283
2015-2016,pre_neet,ordinary,24507,7557,120,1878,456,622,54,Justice A.K. Rajan Committee 2021,Table 7.18,0.07663116660545967,0.06034140531957126,1.2699599255207428
2016-2017,pre_neet,ordinary,20920,5085,13,1968,438,1103,99,Justice A.K. Rajan Committee 2021,Table 7.18,0.09407265774378586,0.08613569321533923,1.0921448964090208
2017-2018,post_neet,ordinary,29247,2365,17,2611,41,850,15,Justice A.K. Rajan Committee 2021,Table 7.18,0.08927411358429925,0.01733615221987315,5.1495921616309195
2018-2019,post_neet,ordinary,26749,1476,10,2457,88,1062,31,Justice A.K. Rajan Committee 2021,Table 7.18,0.09185390108041422,0.05962059620596206,1.5406404317578568
2019-2020,post_neet,ordinary,33794,1180,42,2807,58,1324,13,Justice A.K. Rajan Committee 2021,Table 7.18,0.08306208202639521,0.04915254237288136,1.6898837377783853
2020-2021,post_neet,ordinary_92_5_percent,23294,898,13,2871,70,1176,12,Justice A.K. Rajan Committee 2021,Table 7.18,0.1232506224778913,0.0779510022271715,1.5811294140735197
