year,neet_period,quota_group,applied_english_medium,applied_tamil_medium,applied_other,govt_allotted_english_medium,govt_allotted_tamil_medium,self_financing_allotted_english_medium,self_financing_allotted_tamil_medium,source,source_table
2010-2011,pre_neet,ordinary,12963,5277,8,1307,382,577,83,Justice A.K. Rajan Committee 2021,Table 7.18
2011-2012,pre_neet,ordinary,15644,5204,18,1364,339,720,120,Justice A.K. Rajan Committee 2021,Table 7.18
2012-2013,pre_neet,ordinary,21622,6725,7,1477,392,727,111,Justice A.K. Rajan Committee 2021,Table 7.18
2013-2014,pre_neet,ordinary,22592,6967,10,1803,471,894,99,Justice A.K. Rajan Committee 2021,Table 7.18
2014-2015,pre_neet,ordinary,21962,6082,9,1767,481,778,121,Justice A.K. Rajan Committee 2021,Table 7.18
2015-2016,pre_neet,ordinary,24507,7557,120,1878,456,622,54,Justice A.K. Rajan Committee 2021,Table 7.18
2016-2017,pre_neet,ordinary,20920,5085,13,1968,438,1103,99,Justice A.K. Rajan Committee 2021,Table 7.18
2017-2018,post_neet,ordinary,29247,2365,17,2611,41,850,15,Justice A.K. Rajan Committee 2021,Table 7.18
2018-2019,post_neet,ordinary,26749,1476,10,2457,88,1062,31,Justice A.K. Rajan Committee 2021,Table 7.18
2019-2020,post_neet,ordinary,33794,1180,42,2807,58,1324,13,Justice A.K. Rajan Committee 2021,Table 7.18
2020-2021,post_neet,ordinary_92_5_percent,23294,898,13,2871,70,1176,12,Justice A.K. Rajan Committee 2021,Table 7.18
2020-2021,post_neet,government_school_7_5_percent,269,694,2,93,146,26,71,Justice A.K. Rajan Committee 2021,Table 7.18
