priority,provider,dataset,years,access_type,known_cost,status,date_requested,date_received,local_path,license_checked,notes
A1,MoSPI Microdata Portal,Periodic Labour Force Survey (annual/calendar public-use files),2017-18 through 2023-24; calendar 2024; calendar 2025,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,,2026-07-25,data/external/mospi/plfs,yes,"API download complete for priority+model-batch PLFS waves (2019-20 through 2023-24 annual, calendar 2022/2023/2025). Local under data/external/mospi/plfs/. Not committed."
A2,MoSPI Microdata Portal,Household Consumption Expenditure Survey (HCES),2022-23 and 2023-24,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,,2026-07-25,data/external/mospi/hces,yes,API download. HCES 2022-23 and 2023-24 CSV+docs local. Registered in download_manifest.csv.
A3,MoSPI Microdata Portal,"Comprehensive Modular Survey on Education (CMSE), NSS 80th Round",2025,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,,2026-07-25,data/external/mospi/cmse/2025/raw,yes,API download. CMSE 2025 CSV+docs local.
A4,MoSPI Microdata Portal,"Household Social Consumption: Education, NSS 75th Round",2017-18,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,,2026-07-25,data/external/mospi/nss_education/2017-18/raw,yes,API download. NSS Education 75th Round CSV+docs local.
A5,MoSPI Microdata Portal,"Debt and Investment Survey (AIDIS), NSS 77th Round",2019,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,,2026-07-25,data/external/mospi/aidis/2019/raw,yes,API download. AIDIS 2019 CSV+docs local.
A6,The DHS Program,National Family Health Survey NFHS-5,2019-21,Free request/login; approval required,₹0,login_required_probe_2026-07-25,,,data/external/dhs/nfhs5,no,Dataset page reachable; download requires DHS account + project approval
A7,The DHS Program,National Family Health Survey NFHS-4,2015-16,Free request/login; approval required,₹0,not_requested,,,,no,
A8,ICPSR / DSDR,India Human Development Survey I and II,2004-05 and 2011-12,Free account/terms,₹0,not_requested,,,,no,
A9,PRICE,ICE 360 Household Surveys,"2014, 2016, 2021, 2023",Login/register; terms/approval or quote unclear,Unknown; ask PRICE,not_requested,,,,no,
A10,MoSPI Microdata Portal,Time Use Survey,2019 and 2024,Free account/login,₹0,downloaded_local_unitzip_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/tus,yes,API download complete. TUS 2019 and 2024 unit-level zips + docs under data/external/mospi/tus/ (zip not CSV-named).
A11,MoSPI Microdata Portal,"Multiple Indicator Survey, NSS 78th Round",2020-21,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/mis/2020-21/raw,yes,API download complete. MIS 78th CSV+docs under data/external/mospi/mis/2020-21/raw/.
A12,MoSPI Microdata Portal,Comprehensive Annual Modular Survey (CAMS),2022-23,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/cams/2022-23/raw,yes,API download complete. CAMS 2022-23 CSV+docs under data/external/mospi/cams/2022-23/raw/.
A13,MoSPI Microdata Portal,Annual Survey of Unincorporated Sector Enterprises (ASUSE),"2022-23, 2023-24, and latest 2025 release if available",Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/asuse,yes,API download complete. ASUSE 2022-23 and 2023-24 CSV+docs under data/external/mospi/asuse/.
A14,MoSPI Microdata Portal,"Household Social Consumption: Health, NSS 75th Round",2017-18,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/nss_health/2017-18/raw,yes,API download complete. NSS Health 75th 2017-18 CSV+docs under data/external/mospi/nss_health/2017-18/raw/.
A14b,MoSPI Microdata Portal,"Household Social Consumption: Health, NSS 80th Round / Jan-Dec 2025",2025,Free account/login,₹0,downloaded_local_csv_docs_2026-07-25,2026-07-25,2026-07-25,data/external/mospi/nss_health/2025/raw,yes,API download complete. Health 2025 CSV+docs under data/external/mospi/nss_health/2025/raw/.
A15,Young Lives / UK Data Service or World Bank Microdata,Young Lives India longitudinal cohorts and school surveys,2002 onward; all public rounds,Registration/terms; generally free,₹0,metadata_literature_only_2026-07-25,,2026-07-25,data/external/young_lives,partial,DCAT/JSON-LD + cohort profile PDF only; UKDS unit files still needed (SN-9543).
A16,ICMR National Health Research Data Repository,Relevant adolescent/mental-health and health-workforce datasets,various,Registration plus query/application; raw data often not released,Usually ₹0; project-specific,not_requested,,,,no,
A17,Dataful,NEET 2024 centre-wise marks derived from NTA,2024,Free account or download gate,Likely ₹0 for listed dataset; verify,not_requested,,,,no,
B1,EPWRF India Time Series,Selected aggregate modules via pay-per-use,long time series,Paid pay-per-use or annual subscription,₹20 per column up to 200 lines; ₹10 each additional 200 lines; small modules ₹120-₹230/year,not_requested,,,,no,
B2,Indiastat Districts,District-level socioeconomic tables,various,Paid subscription,"15-day: ₹5,664 incl. GST in India or $283 foreign, 10 tables; 30-day: ₹8,142 or $354, 30 tables",not_requested,,,,no,
B3,CMIE,Consumer Pyramids Household Survey Dx,"2014-present, three waves/year",Paid subscription; price by quote/institution,Current price not public; likely not small,not_requested,,,,no,
